Comune,SI_norm_km_density_x,SP_norm_km_density_x,SS_norm_km_density_x,SI_norm_min_density_x,SP_norm_min_density_x,SS_norm_min_density_x,SI_norm_km_density_y,SP_norm_km_density_y,SS_norm_km_density_y,SI_norm_min_density_y,SP_norm_min_density_y,SS_norm_min_density_y
BORBONA,0.0424745521542468,0.015143682341304402,0.043619472600749866,0.05214807891291897,0.023682440329081036,0.053570001769392604,0.027670474836613296,0.012750112391442893,0.028336680997945465,0.037577134672375806,0.02314082332620331,0.03905761061226218
BORGO VELINO,0.00105232071292375,0.00119279496900585,0.0025887355127076,0.00225009239646065,0.0027278959885768,0.0044503869671927996,0.0008881227904323731,0.0008929102791824023,0.0009006410762151743,0.0012697573838026592,0.001286041359143029,0.0010183388485654069
BORGOROSE,0.007680632711538793,0.007680632711538793,0.008789685878506594,0.010524548571208691,0.010524548571208691,0.012851678618632649,0.005092015425478268,0.005092015425478268,0.005659204416986954,0.005943697044682478,0.005943697044682478,0.0071742267986769
BOVILLE ERNICA,0.003259991583687577,0.0033455780047514966,0.0030780463001597886,0.005263442798345012,0.005329375014335839,0.0049662870938846455,0.001385423765532713,0.001369319514524231,0.0017922498119681614,0.0021481638283855345,0.0020627282997472624,0.002665692307111565
BRACCIANO,0.0039625749408787,0.00390948777180694,0.00362774014382395,0.0068117146302447,0.006733764140463649,0.00658507131348956,0.0026902599040841296,0.002626849328034442,0.002629150533105972,0.004399438809931516,0.004281929173022963,0.0040512363214683395
BROCCOSTELLA,0.003118078438791325,0.00292660332128315,0.003154965773770025,0.004621201162978375,0.0042880132950330755,0.0048341994782353,0.0036526163141937175,0.0034357188214769988,0.0036627526412858543,0.004904999333604344,0.004643526730841687,0.004883810894302877
CALCATA,0.0002683879921866994,0.0009865868359057333,0.0010552069501743666,0.0007759949301232666,0.0018311719969526334,0.0019931134459161668,0.00020275887619776635,0.0005859152771954704,0.0006305480459946837,0.000577176980483262,0.001090446127849059,0.0011845902046030803
CAMERATA NUOVA,0.0191436821737177,7.65986657779267e-05,0.0191436821737177,0.0218525620728434,0.000299213538195,0.0218525620728434,,,,,,
CAMPAGNANO DI ROMA,0.0016132481502049,0.001497716239076525,0.0013972402572222,0.0031320237477968247,0.002641961234607825,0.0022518541204886496,0.000964021040872265,0.0009231383763969296,0.0010138865362157292,0.0015439206448702794,0.0013734515945748895,0.0016849269896039513
CAMPODIMELE,0.0059364845091742,0.006091762749948,0.00764842362797055,0.007512134841892,0.00782186721922895,0.013101097757595749,0.0027193160670723627,0.0027706158879824807,0.003020599296274837,0.0041834588284460055,0.004280095076592694,0.005324203949057352
CAMPOLI APPENNINO,0.0033258297631529,0.0028435719214326754,0.00282309159413025,0.004294841521265325,0.004979442921374625,0.004415582701888075,0.0026289581173694412,0.001653134106435651,0.0023010189765928822,0.002651827150063859,0.0028723564468086595,0.0030056786979402728
CANALE MONTERANO,0.0014255379140295653,0.0014099104221325,0.001530486661578275,0.0027517399093101753,0.0029414418308196747,0.00289142378875225,0.0010722895007403465,0.0009913580014595975,0.0011870251125032177,0.0018409427883317175,0.0016758611839858082,0.002096763097865196
CANEPINA,0.0028490565345444118,0.0028490565345444118,0.0028490565345444118,0.00550954226740975,0.00550954226740975,0.00550954226740975,0.0038948218453044637,0.0038948218453044637,0.0038948218453044637,0.007344904120487393,0.007344904120487393,0.007344904120487393
CANINO,8.822507022029647e-05,0.0001340775429101,8.822507022029647e-05,0.0003479875159501,0.0004435135007207,0.0003479875159501,,,,,,
CANTALICE,0.002763455039436655,0.002763455039436655,0.002763455039436655,0.004955323407207609,0.004955323407207609,0.004955323407207609,0.002135965002843334,0.002135965002843334,0.002135965002843334,0.0029239875402919877,0.0029239875402919877,0.0029239875402919877
CANTALUPO IN SABINA,0.0020732040743641996,0.0020732040743641996,0.00878012442329135,0.0033606007824589,0.0033606007824589,0.0121583650988635,0.0027490701619609665,0.0027490701619609665,0.006100840795437731,0.002996444432886609,0.002996444432886609,0.008272410509283607
CANTERANO,0.0066407916300389,0.001209575497039,0.0066231727342619,0.0108777530449362,0.0027960421559167,0.010813916466034,,,,,,
CAPENA,0.0033008153444258575,0.003885426676568628,0.003703631774839129,0.005002668225169228,0.005978778816929543,0.006124342094609428,0.0020426137477901948,0.0020310412558235185,0.0030415090939693626,0.002928770372311978,0.002936111188875946,0.004349537662862651
CAPODIMONTE,0.006886247971644066,0.0010634474773316,0.0033775146596631,0.008104872364951768,0.0023528224107552333,0.004853108901050234,0.0023224372576001995,0.0006045984934825986,0.0017350648853486509,0.0026392106527076903,0.0011031958813242763,0.002279908449265731
CAPRANICA,0.008050147455643624,0.007861966442066532,0.008874504321916075,0.011661688313551025,0.011303254085546,0.01341121679718665,0.013820874187873634,0.013433008345532316,0.01492532844835658,0.01970188150889373,0.01896170559800128,0.022088919356050115
CAPRANICA PRENESTINA,0.014082874956130633,0.010186945633295266,0.0138404307869702,0.022374055549868568,0.018947757295099565,0.02526797795254407,0.014073329669197958,0.002533033100098033,0.004685011250124595,0.021404670866183806,0.006030911877259436,0.00981766247648756
CAPRAROLA,0.0010652304738754,0.0010652304738754,0.0010652304738754,0.0018294064443385,0.0018294064443385,0.0018294064443385,0.0013134958422788348,0.0013134958422788348,0.0013134958422788348,0.00202894840659109,0.00202894840659109,0.00202894840659109
CARBOGNANO,0.0002535784383854,0.0002535784383854,0.0002535784383854,0.0007482259131704,0.0007482259131704,0.0007482259131704,,,,,,
CARPINETO ROMANO,0.0001956408737585,0.0001991523766208,6.270540825594931e-06,0.0006186933614586,0.0006186933614586,1.2541081651189862e-05,,,,,,
CASALATTICO,0.01019530708689976,0.00859055362109416,0.00859055362109416,0.01713802083829726,0.014610042338313839,0.014610042338313839,0.006133099715052071,0.005306776229517902,0.005306776229517902,0.010689306577158506,0.00957966611549339,0.00957966611549339
CASALVIERI,0.0066643679350224935,0.007190649530260706,0.007190649530260706,0.009991825161352358,0.010329864719809848,0.010329864719809848,0.00464155980296192,0.005606264812363429,0.005606264812363429,0.0063239100954366745,0.00707358115324284,0.00707358115324284
