Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
FORANO,2660.0,39.8647911027569,42.23724310776942,1.9643654992935515,0.5398426077592112
FORMELLO,12094.0,19.549606443966702,19.972037098285654,2.164241118509585,1.7996876566159086
FORMIA,35353.0,22.98759733733111,27.38334354777373,1.8164708912518872,2.0225644127792006
FRASCATI,22080.0,8.334333333333333,13.977777777777776,,
FRASSO SABINO,645.0,38.01352403100775,40.947743324720065,0.9576895953862645,1.5769453659663735
FUMONE,1714.0,19.100590042784912,25.172176844288863,1.0889345863426934,1.3083052210552129
GAETA,18773.0,23.380921891368814,28.486370200701952,2.2535493116415277,2.2902402968430966
GALLESE,2019.0,33.99435017335314,38.14308238401849,1.2737503825463727,0.47910023694111925
GALLICANO NEL LAZIO,5649.0,14.820986723313862,21.29657264805964,0.6034906792983636,0.9408477264916194
GALLINARO,329.0,34.151213779128675,36.8725430597771,2.2483385183850686,2.6546422019659355
GAVIGNANO,1192.0,21.97379110738255,27.963250372856077,2.5686606159219183,1.8079239655626365
GENAZZANO,4500.0,20.56232637037037,26.91492469135802,1.712943553379239,2.003548301903392
GENZANO DI ROMA,21190.0,11.052881988359289,18.6734796287557,2.461980786854615,2.4478043287293274
GERANO,957.0,22.668237199582027,31.05787182166492,0.3943298816417001,1.3277894002280741
GIULIANO DI ROMA,1263.0,35.208504882554756,37.499340195302196,1.0702419923653808,1.775160399638423
GORGA,573.0,29.27120942408377,38.55927865037813,4.238944605720907,5.641438941735815
GRADOLI,1221.0,39.431796068796075,43.04059059059059,1.2740778364500864,2.8728686857558805
GRAFFIGNANO,1753.0,45.05921277809469,45.322013056981675,0.940682453210314,0.9651440754725433
GRECCIO,1196.0,54.91341806020066,49.80473801560758,2.0181685169883505,3.266821613861111
GROTTAFERRATA,20012.0,9.983555616630023,16.502716148088926,1.4637218163146826,1.5464734318590203
GROTTE DI CASTRO,2294.0,39.65766666666666,41.855555555555554,,
GUARCINO,1028.0,21.635725356679643,28.996811500216165,0.31560532666959956,0.21213203435596475
ISCHIA DI CASTRO,1958.0,41.30966666666667,40.31666666666667,,
ISOLA DEL LIRI,8806.0,24.47032099326217,32.572619678502036,1.720018491502667,2.8669450461610237
ITRI,8098.0,19.674529678109824,25.45160807881233,0.8570601236526845,2.034475647338152
JENNE,317.0,34.96916403785489,49.64114966701718,0.30193459556665553,0.3535533905932738
LABICO,6129.0,16.094618317289388,20.472873950798576,0.3002846797438874,1.5831335156565494
LABRO,135.0,59.75891851851852,56.61497942386832,1.071941281559359,2.8845337542528195
LANUVIO,9621.0,13.84289609534698,21.956194782247163,0.8523671799898266,1.215876156539938
LARIANO,13106.0,14.475,20.222222222222225,,
LATERA,749.0,38.644246105919,40.32814122533749,0.08226008887802753,0.3928371006591992
LENOLA,3624.0,22.591318984547456,31.316015145940636,2.6545874319491607,3.157486461174225
LEONESSA,2004.0,80.06775615435794,82.1556636726547,4.1196282993754245,3.761785307078486
LICENZA,809.0,40.28225669550886,36.3483724763082,3.5899811280841054,6.0654048341779445
LONGONE SABINO,383.0,62.01446997389034,57.974267478967214,4.398104549647453,3.528047525411731
LUBRIANO,450.0,48.929333333333346,46.516666666666666,,
MAENZA,1713.0,34.94554154504767,40.665369397418445,2.3493314494254016,3.5183484364349953
MAGLIANO ROMANO,1321.0,24.508,30.69444444444445,,
MAGLIANO SABINA,2486.0,48.70266626441405,45.23817377312953,4.642492398924749,3.9249811931084637
MANDELA,839.0,28.116278108859756,26.90215865448285,0.2618652112994191,0.7424621202458753
MANZIANA,7105.0,28.445973680506686,28.657009930408947,1.187524077728611,2.1155672998039994
MARANO EQUO,782.0,32.818666666666665,33.044444444444444,,
MARCELLINA,6813.0,22.12210245119624,29.005769199406366,0.632245586367736,1.0571771170386377
MARCETELLI,69.0,52.42333333333334,66.07222222222222,,
MARTA,3064.0,33.631,36.5,,
MAZZANO ROMANO,2452.0,33.199,35.294444444444444,,
MENTANA,21103.0,16.90922638171508,24.46740510827845,1.5916344150310109,2.212212176996001
MICIGLIANO,114.0,77.44461403508771,74.46988304093567,5.1508014964232,3.6887403751898242
MINTURNO,18927.0,30.108099064828032,35.09502591829427,2.1077305555856745,1.947860203272479
MOMPEO,251.0,45.301774236387786,52.414431164231964,0.3354088715450281,1.3132280461650878
MONTALTO DI CASTRO,6347.0,40.655114647339936,35.26370901388233,7.545763842165249,6.244839323440035
MONTASOLA,247.0,43.35066126855601,46.922762033288336,0.926414009321243,1.549926986200139
MONTE COMPATRI,10388.0,12.846597259658582,17.84018793051812,1.2055761716805389,2.197344756870484
MONTE PORZIO CATONE,8307.0,10.449150314995386,13.693217233123336,1.049344594391078,1.3330520536639878
MONTE ROMANO,1896.0,24.577333333333332,21.8,,
MONTE SAN BIAGIO,4663.0,18.901822217456573,25.584337693902356,4.343035219722851,5.54160385496134
MONTE SAN GIOVANNI CAMPANO,5300.0,24.422383144654088,29.692005241090143,2.566976905464499,4.2279094919157005
MONTE SAN GIOVANNI IN SABINA,482.0,53.713653526970944,54.98856615952051,3.9437882474520243,0.9467991188359695
MONTEBUONO,621.0,42.2080998389694,47.257085346215774,2.054872704253925,2.0418706481264173
MONTEFIASCONE,11222.0,37.32085020495455,38.57906889245332,0.4978061090647865,0.590179403567307
MONTEFLAVIO,1188.0,45.001000000000005,55.09444444444445,,
MONTELANICO,1735.0,28.53234966378482,31.330515529939166,0.861727464006009,1.7913371790059216
MONTELEONE SABINO,992.0,41.16771438172044,45.46057907706093,1.7096676198519887,1.9334796666629728
MONTELIBRETTI,4390.0,30.611344115413814,33.15175651733739,2.7158290181002873,2.2456934093702308
MONTENERO SABINO,175.0,45.91251238095237,50.789746031746034,1.1900523019941103,2.248316373159123
MONTEROSI,3126.0,24.827101407549595,32.3944657709533,1.3219254895794996,0.8719258165862667
MONTOPOLI DI SABINA,2685.0,41.653152079453754,44.01201531140079,3.7270370285718477,4.53964739721971
MONTORIO ROMANO,1871.0,38.99333333333334,44.47222222222223,,
MORICONE,2188.0,29.096,35.89444444444444,,
MORLUPO,7779.0,22.01328388396109,26.444818671351648,1.5390751282848572,1.5273077330176708
MOROLO,2160.0,25.114160802469137,26.63628086419753,1.7039523740767204,1.3698134503971298
MORRO REATINO,290.0,58.85238965517241,58.11136015325672,1.8501907108908147,2.1357133714378107
NAZZANO,1041.0,31.33692827409542,33.0428167360444,1.3785625632305307,1.650688844861875
NEMI,1776.0,11.60846809309309,19.151035410410408,0.16771814981622526,0.9000234336226816
NEPI,8018.0,25.172907832377152,30.888146115684155,0.9169120844744445,2.2744165144416546
NEROLA,1635.0,35.219492762487256,41.72139653414883,1.7119988220400941,2.066264895235833
NESPOLO,186.0,47.529,53.716666666666676,,
NORMA,3417.0,29.656,41.95000000000001,,
OLEVANO ROMANO,5239.0,20.51933333333333,28.522222222222222,,
ONANO,796.0,40.24766666666667,42.26111111111111,,
ORIOLO ROMANO,3094.0,26.57117582417583,31.66191733103498,0.09616652224136991,0.5303300858899056
ORTE,7896.0,44.9950234295846,40.82292299898683,1.4232534177037104,3.475582078140723
ORVINIO,355.0,41.23633333333334,47.95555555555557,,
PAGANICO SABINO,122.0,43.64566666666667,45.077777777777776,,
PALESTRINA,19853.0,15.545695629543815,20.57981161537299,1.3536750448257984,1.8836096591346492
PALIANO,5685.0,21.99918569334506,32.34811394507965,1.7183572458422678,2.9523102981248233
PALOMBARA SABINA,7952.0,24.329855969148216,29.053871842164096,1.9336198756251715,3.0997766887764966
PASTENA,448.0,33.761135416666676,39.526512896825395,0.44114955052218147,0.3167316372596118
PATRICA,2075.0,27.809257028112455,29.38172423025435,2.7451523908450235,3.7453261245363465
PERCILE,206.0,45.14476051779936,43.65496224379719,0.4447701653663368,1.304219174188519
PESCOROCCHIANO,1848.0,55.06001443001443,51.374630230880236,3.6198129826331873,6.790208538069357
PESCOSOLIDO,793.0,30.37217108028583,34.364256690486194,1.8812304371532909,2.399800048010078
PETRELLA SALTO,929.0,64.63358414065306,53.284924052146856,3.399655823993324,4.748153769401415
PIANSANO,1762.0,36.13495459704881,36.62584815235212,0.561678486522515,0.8563848794370391
PICINISCO,288.0,40.824072916666665,43.682503858024695,3.808808721472855,5.896384356946932
PICO,843.0,32.76508185053381,36.87951100566759,1.2083542245959042,1.232660254553137
PIEDIMONTE SAN GERMANO,5445.0,35.069968595041324,37.04088154269973,2.547953575366362,1.848365978404563
PIGLIO,3374.0,27.25623276032405,33.028052756372254,1.859649841876565,2.197390695151177
PIGNATARO INTERAMNA,858.0,29.259865190365186,31.722461797461804,0.47475867163886026,0.9032087290490787
PISONIANO,710.0,23.03633333333333,30.727777777777774,,
POFI,2148.0,29.397729671011792,37.40313211255948,1.8595467567013781,1.5732163344102787
POGGIO BUSTONE,1828.0,57.86559080962801,57.44253890104547,1.6355342099301526,2.4320891458103895
POGGIO CATINO,812.0,46.93617487684728,53.4333470169677,2.5116340962276573,5.144570432822512
POGGIO MIRTETO,4972.0,40.73365855457227,46.998065835344605,1.5330069804526012,2.5249553985851323
POGGIO MOIANO,2622.0,39.605853801169594,44.63613653699466,2.450582364648441,2.8662305869866382
POGGIO NATIVO,2243.0,37.94408797741121,42.677522663100014,3.307545078218051,3.497565290736253
POGGIO SAN LORENZO,353.0,38.67799999999999,40.56666666666667,,
POLI,1849.0,33.7471629709753,35.049387056066344,9.176796627000806,5.515642738141661
PONTECORVO,8560.0,31.12066265576323,32.53347936137073,0.7280734810629771,1.772654171594485
PONTINIA,8094.0,19.85262552508031,22.437779013260847,2.1041961850829063,1.8743934939114673
PONZA,3107.0,2.3816961699388477,4.756978864928656,2.9437304564107087,5.842476960762193
PONZANO ROMANO,969.0,39.37766666666666,32.888888888888886,,
POSTA,554.0,86.54120156438026,82.29996991576412,7.026092373440831,6.557098714584986
POSTA FIBRENO,687.0,29.558072780203787,31.711709526120003,0.5388153672641496,0.4635477787778499
