Comune,Nucleo_ID,Densità_popolazione_km2,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_norm_km_density,SI_norm_min_density,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_norm_km_density,SP_norm_min_density,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_norm_km_density,SS_norm_min_density
RIETI,5705920001.0,1026.522340342477,16.148642857142857,5.988136330177463,22.534523809523805,7.1727805295457445,0.015731409071677107,0.02195229750382797,19.8076,17.432183258431962,25.755000000000003,16.641920610462556,0.0192958294442882,0.0250895659917225,23.770000000000003,19.776525065508014,29.547619047619044,18.494482231624467,0.023155852596515,0.028784194835702374
RIETI,5705920002.0,1190.478065841585,8.759214285714286,5.672429871127288,13.946428571428571,6.7543344063114965,0.007357728409319438,0.01171498154530837,12.574099999999998,17.255573054330398,17.39666666666667,16.536739493818597,0.010562227361250025,0.014613176979761016,15.303285714285716,20.38088791584153,19.98809523809524,19.237056048076205,0.012854739749839372,0.016789973550638288
RIETI,5705910013.0,846.4384161453653,13.627714285714283,6.1129994957602305,18.927380952380954,7.305724857251722,0.016100065906476876,0.02236120264788456,17.316200000000002,17.576645178569585,22.200000000000003,16.979751921292667,0.020457719864437438,0.026227543051622823,20.48757142857143,20.380778116133047,25.316666666666666,19.24192711916505,0.02420444421919166,0.029909638059620918
RIETI,5705910017.0,1448.4009598079826,11.461142857142859,5.790613025301484,18.255952380952383,6.662975282971536,0.007912962760437748,0.012604211739387835,15.235700000000001,17.34624534493464,21.703333333333326,16.502644382187306,0.010518979497237993,0.014984340618091401,18.415857142857146,20.24817778985368,24.51190476190476,19.16897984661125,0.012714612634127619,0.01692342482647509
RIETI,5705910010.0,415.0834990329868,20.442999999999998,6.313218635407896,27.550000000000004,7.978590475949118,0.04925033167453227,0.0663721879192567,27.482099999999996,16.186124417400094,35.29666666666666,16.226180643380157,0.06620860637443933,0.08503509956164657,27.92328571428571,19.92964923352713,35.36666666666666,20.35808147840757,0.0672714906261948,0.08520374032949948
RIETI,5705910003.0,897.418938767895,8.137857142857145,3.7317376001647697,13.720238095238095,4.618576290102497,0.009068069316689437,0.015288554210896416,12.5175,17.118307732106906,18.69333333333333,16.93327172633879,0.013948335007489158,0.020830107908128406,14.169999999999998,20.517911289082686,19.490476190476187,20.679762555819625,0.015789726946764237,0.021718369591392284
RIETI,5705910008.0,367.46269047691345,11.566785714285711,5.559730945047492,19.738095238095237,6.570747230697522,0.0314774425106225,0.053714555925332294,15.622499999999999,17.143905481735093,23.405,16.251406491838267,0.04251452026251768,0.06369354115821581,18.032999999999994,20.471951331842625,24.98095238095238,19.475885917593896,0.04907436990840013,0.06798228236050499
RIETI,5705920014.0,491.04072615640814,8.112285714285717,5.725946188905529,12.308333333333337,7.655632388311058,0.01652059652522948,0.025065809570778537,12.579500000000001,17.86572129495165,16.443333333333335,18.205073570400746,0.025618038036203807,0.03348669969198388,14.10357142857143,21.668600584387406,18.216666666666665,22.164784798982037,0.028721795723475503,0.037098076995072345
RIETI,5705920010.0,953.7521501310888,6.857999999999998,5.2146232255662905,10.965476190476187,7.275792506208969,0.007190547354527481,0.011497196823062505,11.456299999999999,18.168304580902547,15.194999999999999,18.572201532211693,0.012011820889132867,0.015931812051916756,13.941714285714285,21.43673205593836,18.11904761904762,21.674072299706626,0.014617753977066328,0.018997647991207404
RIETI,5705920006.0,735.0826917991873,16.72814285714286,5.98804497256046,23.213095238095242,7.200579210354606,0.022756817761820897,0.031578889691007285,20.387,17.43238722735485,26.438333333333333,16.62262895001499,0.027734294695608747,0.035966475103124666,24.34957142857143,19.77671248259042,30.23809523809523,18.470135339810028,0.0331249418605864,0.04113563763021615
RIETI,5705910011.0,1445.725599229042,10.25471428571429,6.138672086779926,14.345238095238102,7.37713442551458,0.0070931263105410815,0.009922517871225318,13.9373,17.594434360204808,17.58666666666667,16.832273160600927,0.009640349460113527,0.012164595187388992,17.129285714285714,20.380887915841527,20.669047619047618,18.990681020133678,0.011848227439162867,0.014296660189229368
RIETI,5705910015.0,2691.1549376918183,5.673785714285715,5.354137568684205,9.745238095238093,6.70464639427638,0.0021083088286072723,0.003621210343093997,10.188999999999998,17.72858986057392,14.314999999999998,18.06530070345282,0.0037861067964890275,0.0053192775337854966,12.599285714285712,21.04763066407781,16.911904761904758,21.388002249196635,0.00468173925544845,0.006284255330319242
RIETI,5705920004.0,1075.2836475348674,10.265071428571432,3.6332733379628412,15.191666666666674,4.235078128221102,0.009546384762852607,0.014128055142932939,14.8736,15.424512160122854,19.58833333333334,15.444310650899299,0.013832257222639205,0.01821689874875379,15.085571428571427,19.15515240396295,19.75952380952381,19.456163588624086,0.014029387932342994,0.018376103695823275
RIETI,5705910019.0,617.4535680218202,22.17707142857143,6.964962581646528,24.33095238095238,6.88839559658081,0.03591698643773602,0.03940531505697372,26.323700000000002,18.319391875217306,27.723333333333333,16.34613481703825,0.042632679384030626,0.04489946251691855,29.301428571428573,21.711488831623555,30.823809523809526,18.939178619266645,0.04745527451611243,0.04992085416651159
RIETI,5705910016.0,1548.005230277635,10.704785714285714,5.563893008684469,16.523809523809526,6.548464014742767,0.006915212884885284,0.010674259492550924,14.9551,17.08602114432861,20.17666666666667,16.190008349916635,0.009660884671118197,0.013033978356163552,17.111428571428572,20.47176959341117,21.704761904761902,19.409349394437307,0.011053857077963252,0.014021116647564006
RIETI,5705926716.0,520.1534681896136,6.428285714285713,5.68885461540061,10.76785714285714,7.574895176521385,0.012358440551515047,0.020701307981920235,10.840699999999996,18.012481931828397,14.839999999999998,17.975961658027202,0.020841349069017825,0.028530041434983406,12.957142857142854,21.680281689656553,16.659523809523808,21.929260971872417,0.02491023063297068,0.03202809330005437
RIVODUTRI,5706010001.0,1939.0601655366988,1.43,,3.3833333333333333,,0.0007374706702843335,0.0017448315392508125,4.461,,7.066666666666666,,0.0023005990630338546,0.0036443772051347016,8.918000000000001,,14.966666666666667,,0.004599135271045935,0.0077185158731390615
RIVODUTRI,5706010004.0,922.6592906707135,0.3559999999999999,,1.1833333333333333,,0.0003858412347869071,0.0012825247036456185,1.876,,3.3,,0.002033253248483814,0.0035766181876314427,9.023,,13.6,,0.009779341183938941,0.01474000222781443
RIVODUTRI,5706010002.0,1493.6088662189136,1.735,,2.966666666666667,,0.0011616160289622348,0.0019862406643158287,0.11,,0.26666666666666666,,7.364712575553073e-05,0.0001785384866800745,6.131,,12.35,,0.004104822981883263,0.00826856366437095
RIVODUTRI,5706020001.0,649.0776516069097,1.209,,2.4833333333333334,,0.0018626430859341725,0.003825941822500575,2.801,,4.733333333333333,,0.004315354246237897,0.007292399178457472,9.948,,15.099999999999998,,0.01532636345647076,0.02326378047775517
RIVODUTRI,5706020002.0,826.4073616333652,7.131,,12.233333333333333,,0.008628916356584516,0.014803030443913977,5.882999999999999,,11.183333333333335,,0.007118765239908386,0.013532470610172044,8.465,,15.35,,0.010243132373929032,0.01857437471232258
RIVODUTRI,5706010003.0,1903.503888936714,3.862,,6.033333333333333,,0.002028889997255162,0.003169593384284346,2.614,,5.0,,0.001373256978981096,0.0026267348488544302,4.985,,8.283333333333333,,0.0026188546443078674,0.0043516240662688395
RIVODUTRI,5706026603.0,545.6651856175104,1.637,,2.95,,0.003000008142625892,0.005406245583840185,3.229,,5.216666666666667,,0.0059175481322779515,0.00956019699289253,10.376,,15.266666666666667,,0.019015323450144322,0.027978084490381975
RIVODUTRI,5706026604.0,962.78701620242,2.215,,2.7666666666666666,,0.0023006126617045176,0.002873601970225357,0.967,,1.7166666666666666,,0.0010043758211594892,0.001783018089959107,6.632,,11.75,,0.006888335518024542,0.012204152945836606
