Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
CAPRAROLA,4511.0,0.9339214143205499,0.9339214143205499,0.9339214143205499,8.069833074706274,4.647624325722308,4.647624325722308,4.647624325722308,19.669378556122073,2.678214190463488,2.678214190463488,2.678214190463488,1.641706505438777,4.280681734386605,4.280681734386605,4.280681734386605,1.956080264201856
CARBOGNANO,1773.0,0.723,0.723,0.723,4.2535,6.108333333333333,6.108333333333333,6.108333333333333,16.641666666666666,,,,,,,,
CARPINETO ROMANO,3866.0,0.6595,0.6595,0.025,54.984,5.558333333333334,5.466666666666667,0.19999999999999998,133.33333333333334,,,,,,,,
CASALATTICO,269.0,7.769289962825279,5.906587360594796,5.906587360594796,15.347388475836432,35.74668525402726,20.624845105328376,20.624845105328376,65.21099752168524,2.5395519683597736,3.0037127858701806,3.0037127858701806,13.506569160967562,24.17020290219619,11.549308541110927,11.549308541110927,33.713539976955516
CASALVIERI,1053.0,2.330135327635327,2.406285375118708,2.406285375118708,16.670221272554606,14.02480215257993,11.673219373219373,11.673219373219373,54.50500158277936,1.6890644250199967,1.6058557174182355,1.6058557174182355,6.000258468105014,12.306127304345962,14.757882715987828,14.757882715987828,18.23654064879534
CASAPE,622.0,4.6445,0.46199999999999997,3.6145,41.7815,30.583333333333332,4.516666666666667,11.991666666666667,84.24166666666665,,,,,,,,
CASAPROTA,555.0,0.9816621621621622,0.9816621621621622,12.587648648648647,38.030359459459454,7.7935585585585585,7.7935585585585585,28.078423423423423,323.1665315315315,1.1737972567696688,1.1737972567696688,1.1995903467434217,27.769897645652204,11.617951865778902,11.617951865778902,18.586765378145344,285.8010964571534
CASPERIA,829.0,1.1316296743063932,1.1316296743063932,1.1316296743063932,19.298275030156816,8.047285886610373,8.047285886610373,8.047285886610373,61.64936670687575,1.1659072647513609,1.1659072647513609,1.1659072647513609,3.943823309936692,6.472865371001556,6.472865371001556,6.472865371001556,12.011358050704436
CASSINO,28516.0,3.5525328149109274,3.017938537429279,1.9352170828073127,1.9556983038761868,15.060313836968714,16.069453065335637,12.097976379732234,12.065292097224173,3.75641260089943,3.4935504015268846,3.572403391682586,3.706022983503591,21.129462205695795,19.29615278894314,17.486103024073753,17.279421864756515
CASTEL DI TORA,229.0,0.3410000000000001,3.8885,14.7745,43.112,3.2333333333333334,9.333333333333332,24.76666666666667,175.575,,,,,,,,
CASTEL GANDOLFO,8424.0,2.0613110161443498,3.977490028490029,4.733103038936371,4.733103038936371,16.537112219056667,21.83520101297879,26.46184314656537,26.46184314656537,1.4918154488184299,0.3703622663465236,4.012688957129205,4.012688957129205,13.389873177282286,4.139301806397357,21.840414458148537,21.840414458148537
CASTEL MADAMA,6135.0,0.8079682151589243,0.8408155664221679,0.6405974735126325,0.6405974735126325,5.429980530652903,5.92518337408313,3.9479407769627817,3.9479407769627817,2.355908519414931,2.2850088293046045,2.4720258156688684,2.4720258156688684,11.872070160554113,12.42239167048016,12.090904333117212,12.090904333117212
CASTEL SAN PIETRO ROMANO,753.0,1.0636879150066403,1.0636879150066403,3.351126162018592,3.351126162018592,6.544676848162903,6.544676848162903,22.541932270916334,22.541932270916334,1.7241774246482489,1.7241774246482489,1.1640424892016041,1.1640424892016041,18.189974217602316,18.189974217602316,8.792862609547038,8.792862609547038
CASTEL SANT'ANGELO,1081.0,4.88081637372803,1.7117025901942646,6.652924606845514,10.594276133209991,19.98693339500463,13.985306814677768,21.530534998458215,29.08309435707678,1.794840741044811,0.9370190067696702,1.6449769140079284,2.0720852908075362,12.15686167208814,9.046627451927499,8.823619621646959,9.371055078294185
CASTEL SANT'ELIA,2181.0,0.7280006877579093,1.1720412654745531,0.7280006877579093,3.8554662998624485,3.5535839828824702,3.5131056090478374,3.5535839828824702,8.425653370013755,6.80245102579455,6.798196767648512,6.80245102579455,1.7622658709740706,22.93463840763331,23.547592666138307,22.93463840763331,6.558267153414504
CASTELFORTE,3913.0,2.597339125990289,1.5793436621518018,2.5600043444927163,2.5600043444927163,14.09373775449357,9.822505111167903,13.790750915750914,13.790750915750914,3.086479761259851,2.189359625742955,3.1086297570901986,3.1086297570901986,20.322190850698703,14.162400011088309,20.508113570541354,20.508113570541354
CASTELLIRI,1987.0,1.36523980875692,1.103961751383996,1.106265223955712,3.3570060392551584,11.249641419224961,9.752176648213387,9.633085891628921,12.808949840630767,0.6170036719906941,0.5619149920880678,0.5650123892446962,0.9081499050266977,2.798317119931854,3.2950281710704914,3.3520274406637793,3.5733646868442053
CASTELNUOVO DI FARFA,672.0,0.293,35.21,36.037,19.121000000000002,2.716666666666667,86.75,84.06666666666666,138.64166666666668,,,,,,,,
CASTELNUOVO DI PORTO,7705.0,6.471227547047371,9.940995165476963,6.430674691758598,6.511780402336145,22.464881029634437,31.0035301752109,22.09858966039368,22.831172398875186,8.195195453304159,1.6100364514507117,8.2020771280381,8.189021162217015,17.225379158941966,9.672626019533507,17.37098969744623,17.09446675538005
CASTELNUOVO PARANO,773.0,15.49775937904269,1.648019404915912,3.2582134540750323,7.684413971539456,17.4871496334627,9.982082794307892,14.020677015955155,22.92033203967227,2.0696367981340296,1.3353751211871945,0.6262924351177445,1.5610480911416995,3.169624767069624,7.541052548880266,7.3337166205751005,7.604833032337755
CASTIGLIONE IN TEVERINA,2001.0,0.8398605697151424,0.8398605697151424,0.8398605697151424,31.20886556721639,5.929576878227552,5.929576878227552,5.929576878227552,113.643182575379,5.239481844610209,5.239481844610209,5.239481844610209,10.957870968699469,132.3061809185771,132.3061809185771,132.3061809185771,7.290820585833576
CASTRO DEI VOLSCI,2033.0,2.3490789473684215,2.840585341859321,2.3490789473684215,2.840585341859321,14.608669454008854,17.880287752090506,14.608669454008854,17.880287752090506,1.862850373457001,2.0475526007352722,1.862850373457001,2.0475526007352722,8.89141977858499,6.652069377732978,8.89141977858499,6.652069377732978
CASTROCIELO,1459.0,9.510905243317339,12.546930431802604,2.49984338588074,4.206803975325566,23.57567397761023,36.94540781357094,11.74467100753941,17.7898389307745,1.430396299186793,3.4395802637689807,3.2015239368434862,2.694289811974408,17.4213471309938,26.87483159449233,7.919917036092351,16.64417725102795
