origin,destination,distance_m,duration_s,origin_lat,origin_lon,index_right,LOC21_ID,dist_meters
"42.07433034148701,12.070706969719529","42.1014864,12.171189",11350.0,801.0,42.07433034148701,12.070706969719529,2344,5801326704.0,0.0
"42.07433034148701,12.070706969719529","42.10022,12.15851",10286.0,685.0,42.07433034148701,12.070706969719529,2344,5801326704.0,0.0
"42.07433034148701,12.070706969719529","42.0994556,12.175708",11608.0,834.0,42.07433034148701,12.070706969719529,2344,5801326704.0,0.0
"42.108830426872494,12.550559616611421","42.1394994,12.5404698",4505.0,396.0,42.108830426872494,12.550559616611421,823,5801820001.0,0.0
"42.108830426872494,12.550559616611421","42.1392678,12.5420903",5044.0,557.0,42.108830426872494,12.550559616611421,823,5801820001.0,0.0
"42.108830426872494,12.550559616611421","42.1394566,12.5423151",5012.0,539.0,42.108830426872494,12.550559616611421,823,5801820001.0,0.0
"41.26272064702333,13.498234873587231","41.2912523,13.5339472",5842.0,588.0,41.26272064702333,13.498234873587231,1331,5901020008.0,0.0
"41.26272064702333,13.498234873587231","41.292088,13.5335495",5958.0,607.0,41.26272064702333,13.498234873587231,1331,5901020008.0,0.0
"41.26272064702333,13.498234873587231","41.2936907,13.536496",6306.0,669.0,41.26272064702333,13.498234873587231,1331,5901020008.0,0.0
"41.26272064702333,13.498234873587231","41.2915264,13.5349125",6007.0,618.0,41.26272064702333,13.498234873587231,1331,5901020008.0,0.0
"41.385970504447435,13.495171006441566","41.4011508,13.4617001",4999.0,461.0,41.385970504447435,13.495171006441566,860,5901220001.0,0.0
"41.385970504447435,13.495171006441566","41.4078898,13.4569952",7025.0,675.0,41.385970504447435,13.495171006441566,860,5901220001.0,0.0
"41.385970504447435,13.495171006441566","41.3625457,13.4191375",14318.0,1084.0,41.385970504447435,13.495171006441566,860,5901220001.0,0.0
"41.385970504447435,13.495171006441566","41.4052012,13.4628111",5303.0,513.0,41.385970504447435,13.495171006441566,860,5901220001.0,0.0
"41.55351770415466,13.178729268296651","41.5255629,13.1483641",8133.0,795.0,41.55351770415466,13.178729268296651,861,5901320001.0,0.0
"41.55351770415466,13.178729268296651","41.5219604,13.1839576",5005.0,462.0,41.55351770415466,13.178729268296651,861,5901320001.0,0.0
"41.38025385017428,13.333928265656315","41.3496867,13.3529963",4790.0,423.0,41.38025385017428,13.333928265656315,609,5901510002.0,0.0
"41.38025385017428,13.333928265656315","41.3338013,13.3157777",9204.0,727.0,41.38025385017428,13.333928265656315,609,5901510002.0,0.0
"41.38025385017428,13.333928265656315","41.3485294,13.3562047",5222.0,465.0,41.38025385017428,13.333928265656315,609,5901510002.0,0.0
"41.35274656422287,13.305945554680237","41.3496867,13.3529963",5769.0,460.0,41.35274656422287,13.305945554680237,1467,5901520009.0,0.0
"41.35274656422287,13.305945554680237","41.3485294,13.3562047",6483.0,551.0,41.35274656422287,13.305945554680237,1467,5901520009.0,0.0
