Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SI_match_ratio,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SP_match_ratio,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,SS_match_ratio
GENAZZANO,5804226601.0,39.0,23.735500000000002,25.25007604939043,110.00833333333333,100.20881600715357,2/2,5.604,,33.766666666666666,,1/1,5.881,,39.15,,1/1
GENAZZANO,5804226604.0,28.0,37.2545,4.077884807102817,130.58333333333331,42.61496867950926,2/2,34.094,,95.1,,1/1,34.371,,100.45,,1/1
GENZANO DI ROMA,5804310001.0,850.0,7.199,2.543457980781283,28.760000000000005,6.531426167214767,5/5,7.2341999999999995,2.561365397595587,29.213333333333335,6.111207827517497,5/5,8.852,0.1838477631085022,27.633333333333336,2.1684607956387456,2/2
GENZANO DI ROMA,5804310002.0,19339.0,2.3326000000000002,3.3122612064871944,13.506666666666666,5.152609910413255,5/5,2.3864000000000005,3.27609314580645,14.259999999999996,4.122324047858871,5/5,0.9740000000000001,0.3775950211536165,15.524999999999999,6.988572020727044,2/2
GENZANO DI ROMA,5804320002.0,141.0,4.5364,0.5278326439317674,43.126666666666665,8.430192102727487,5/5,4.4958,0.6133512044497834,43.223333333333336,8.397954446702416,5/5,4.828,0.1923330444827411,39.34166666666666,0.4596194077712549,2/2
GENZANO DI ROMA,5804320001.0,53.0,9.485000000000001,4.684248178736904,61.593333333333334,25.728352821136625,5/5,9.5202,4.703013842207994,62.04666666666666,25.922082499504377,5/5,12.100999999999999,0.1838477631085022,73.98333333333333,2.168460795638743,2/2
GENZANO DI ROMA,5804310003.0,682.0,7.629,3.7732802042785,22.05,6.377423286702693,5/5,7.664200000000001,3.7918082361849472,22.50333333333333,6.339310775716167,5/5,9.836,0.1838477631085022,25.183333333333334,2.1684607956387456,2/2
GENZANO DI ROMA,5804320003.0,47.0,6.5834,3.708641098839304,27.610000000000003,7.074235333628333,5/5,6.630999999999999,3.6926067350856626,27.830000000000002,6.839208856130788,5/5,4.1,0.7707463914933363,20.55,0.8956685895029596,2/2
GENZANO DI ROMA,5804326705.0,24.0,10.65,5.667444706391056,56.906666666666666,19.961249265069114,5/5,10.6064,5.638876599110855,57.00333333333332,20.02305060562839,5/5,14.8275,0.19304015126392726,65.56666666666666,0.4949747468305853,2/2
GENZANO DI ROMA,5804326704.0,54.0,13.025,7.690347001273739,75.12,26.004575986203317,5/5,12.9816,7.657650083413319,75.21666666666667,26.071224558888677,5/5,18.8655,0.19304015126392726,87.91666666666667,0.4949747468305853,2/2
GERANO,5804410001.0,936.0,0.795,,11.1,,1/1,7.289,,51.166666666666664,,1/1,7.289,,51.166666666666664,,1/1
GERANO,5804426602.0,21.0,0.515,,7.15,,1/1,7.838000000000001,,57.39999999999999,,1/1,7.838000000000001,,57.39999999999999,,1/1
GORGA,5804510001.0,459.0,0.268,,3.316666666666667,,1/1,0.268,,3.316666666666667,,1/1,40.586,,107.86666666666666,,1/1
GORGA,5804510002.0,102.0,7.946,,20.65,,1/1,7.946,,20.65,,1/1,33.791,,96.55,,1/1
