Comune,SI_mean_km,SP_mean_km,SS_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min
AMASENO,0.962409843836648,1.5154233907439176,0.9860598415917832,2.260564187963801,3.637591047546784,2.340204122619666,0.28349603171825877,0.8001538914483889,0.35949443667461667,0.3278366237195777,2.214195573348713,0.4866742769572393
AMATRICE,6.158558824714965,6.288271984350668,6.288271984350668,9.620194687911493,10.00156713424062,10.00156713424062,2.843038561270242,3.046739496243651,3.046739496243651,3.5607902287469977,3.793695441208232,3.793695441208232
ANAGNI,5.933787775709629,5.94324911798803,5.389400524233608,9.309538681795852,9.319220070572548,9.122870731239582,2.1421140056854693,2.1366486732695704,2.139296829278416,2.850180693027371,2.8101006339007815,3.0102376441510406
ANGUILLARA SABAZIA,5.1696902750568,5.0810177742063685,5.283589525269524,8.908891676122375,8.528561066889786,8.420895433948635,3.2572367783603067,3.206731192571985,3.323471118082309,3.3562180762776883,3.2668995141365724,3.4648829910134262
ANTICOLI CORRADO,6.671,0.375,0.375,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,
ANTRODOCO,1.5627966179347528,1.6765925470393321,1.3788113362051435,2.906053785080963,3.36013871610074,2.3769666040984796,4.435944213186184,4.262819802274859,4.6149410523501455,4.465707815822291,4.090107759152744,4.933126872556668
AQUINO,2.3928263200385933,2.6480863158691106,2.5416208859340967,3.769902875084087,4.23103737347291,3.7687933697210094,2.3110671488874286,2.654543331723933,2.8361504661541965,2.9742572213106446,3.087713105555991,3.801213256609292
ARCE,5.557717992204408,4.022880950035085,4.022880950035085,7.676928796127217,5.923630246193802,5.923630246193802,0.705388558070758,1.9942986277093802,1.9942986277093802,0.8074619562213509,2.3849228798552673,2.3849228798552673
ARCINAZZO ROMANO,3.3879472669625565,4.548062221902389,1.1956997513658285,6.505895320246973,6.236113016684484,2.4904502247476077,4.152838125908594,0.24041630560342606,4.711452483045966,3.2644763064778943,0.5597928684393504,5.173664615681575
ARICCIA,3.309290054923606,3.161890054923606,2.244034211458381,6.970163089014319,6.326997449411208,4.399652039546076,0.3897572577900251,0.3897572577900251,0.22344574285494892,0.7896025723249771,0.7825315045131106,0.48318963381080704
ARLENA DI CASTRO,0.637,7.823,7.823,3.783333333333333,11.183333333333334,11.183333333333334,,,,,,
ARNARA,1.532685820557995,1.532685820557995,1.532685820557995,2.9359125770076284,2.9359125770076284,2.9359125770076284,0.7997266373233071,0.7997266373233071,0.7997266373233071,1.4885545851887394,1.4885545851887394,1.4885545851887394
ARPINO,5.787114174070019,4.659962464347663,4.164289949396627,9.743496725116863,7.8270513461155025,7.08855589518671,1.0858569436043053,1.3566887368350087,2.430922924149981,1.5758681933669123,2.197851212267804,3.7880374958777057
ARSOLI,0.466,0.158,0.025,1.45,0.7333333333333333,0.11666666666666659,,,,,,
ARTENA,4.032656178021794,3.6725738488242556,3.5274527710859616,6.526271706971948,5.824194761859961,5.837164490148218,0.7689383278261007,0.8736135694630663,1.7589702385202541,0.9601255704912316,1.1397238639736866,2.249425852671447
ASCREA,5.538070758501298,13.875344649270849,16.188851009616453,10.391906503511763,25.594584459431545,23.913808501513355,2.264155913359325,7.759082709959984,5.5069476118808325,6.175399222362515,13.729656668038801,6.847150664489738
ATINA,2.903211668539895,2.903211668539895,3.2942096697105767,4.994258337343779,4.994258337343779,5.246444564642002,1.326603201618877,1.326603201618877,2.790598971221379,2.1771599051344968,2.1771599051344968,2.77784888797869
AUSONIA,3.189363754159227,3.2771944967064504,3.4452412603015983,5.4598959301746,5.723159027191066,6.2122007744583065,1.7832310001791694,1.784247803060795,1.7856532189038887,2.6512661354930254,2.6830342859900207,2.716238114552827
BAGNOREGIO,4.287154225062339,4.430806399861577,4.430806399861577,6.214799165920779,6.4534868880693885,6.4534868880693885,4.2265998450290985,4.572323798318166,4.572323798318166,4.170054178527161,5.231032756894541,5.231032756894541
BARBARANO ROMANO,0.41207454228378954,5.877074542283789,5.552694796797421,0.6875503592534628,7.546622471448663,7.0069600466758315,0.737512372777569,0.7375123727775692,0.7368052659963817,1.249221980096234,1.0488750587600455,1.0370899457402698
BASSANO IN TEVERINA,0.205,0.422,8.652,0.5166666666666667,1.15,10.716666666666669,,,,,,
BASSANO ROMANO,0.161,0.331,0.551,0.4666666666666667,1.0166666666666666,1.9166666666666667,,,,,,
BASSIANO,1.8723644350174256,1.711166580590422,1.711166580590422,3.840322028172239,3.3830523947261075,3.3830523947261075,1.5711281509369839,1.507939543438883,1.507939543438883,2.2653335540513924,2.0132144464530866,2.0132144464530866
BELLEGRA,1.4920874393065051,1.4920874393065051,1.789517765232755,3.127116163233075,3.127116163233075,3.9500429979787257,2.013034028525102,2.013034028525102,1.70287372305367,4.086096004202001,4.086096004202001,2.4664038899069527
BELMONTE CASTELLO,0.76,0.94,6.938,1.8,2.15,8.766666666666667,,,,,,
BELMONTE IN SABINA,2.8446357285084205,2.8446357285084205,11.127962149530562,4.943129649688791,4.943129649688791,16.492890280077635,1.529502424537688,1.529502424537688,1.6862682665183109,2.2512959230925937,2.2512959230925937,2.333149794368755
BLERA,1.9229873012048009,1.9845840182870405,1.9822841716466206,3.7301112229244424,3.5509612995542197,3.596692608108183,4.702293093091214,4.578095710372747,4.662987275699273,6.687197552870045,6.201933688897478,6.610849668033098
BOLSENA,2.0528190258934846,2.6654629813211597,2.0528190258934846,3.743963625565364,5.871256159362117,3.743963625565364,2.8241844840590704,2.332038164353234,2.8241844840590704,2.38059282999471,1.3788582233137665,2.38059282999471
BOMARZO,1.4270452337700574,1.7957745388425022,1.7957745388425022,2.080896911834302,3.2544405894784623,3.2544405894784623,3.99373910014162,3.479672470219,3.479672470219,5.821845831769242,4.384062043356595,4.384062043356595
BORBONA,19.164442902612752,5.999841974240336,19.70344290261275,22.48085530574915,8.4604518043701,22.961051351219503,1.6087300374311828,1.686479271539776,1.6087300374311824,3.108992334074393,3.9729758414867105,3.3495577375284977
BORGO VELINO,1.070793635829406,1.217793635829406,2.6800045514285062,2.312046030083426,2.812046030083426,4.626203248268149,0.892368757857423,0.8923687578574231,0.8506494577674165,1.249221980096234,1.249221980096234,0.9074537025227359
BORGOROSE,5.412045063422064,5.412045063422064,6.2883789595714505,7.731255113158222,7.731255113158222,9.549754434343242,2.688832607765388,2.688832607765388,2.7330991877957285,2.8926033123237658,2.8926033123237658,3.140869716545495
BOVILLE ERNICA,4.17002121111474,4.355565034851961,3.691641206200234,6.856085783791292,7.103709242266854,6.151452751532262,0.7955946039574138,0.8987637720495403,1.627924296104138,1.1992063347620097,1.4184324507300128,2.316558842722298
