Comune,Nucleo_ID,Popolazione,SI_mean_km,SI_St.Dv_km,SI_mean_min,SI_St.Dv_min,SP_mean_km,SP_St.Dv_km,SP_mean_min,SP_St.Dv_min,SS_mean_km,SS_St.Dv_km,SS_mean_min,SS_St.Dv_min,IC_mean_km,IC_St.Dv_km,IC_mean_min,IC_St.Dv_min
RIETI,5705910003.0,92.0,8.137857142857143,3.7317376001647697,13.720238095238093,4.618576290102497,12.5175,17.118307732106906,18.69333333333333,16.93327172633879,14.17,20.517911289082686,19.49047619047619,20.679762555819625,17.4364,24.173043008690488,23.623333333333335,23.80163276378791
RIETI,5705910008.0,27.0,11.566785714285714,5.559730945047492,19.738095238095237,6.570747230697522,15.622499999999999,17.143905481735093,23.404999999999998,16.251406491838267,18.033,20.471951331842625,24.980952380952377,19.475885917593896,20.5982,24.414368150742707,27.966666666666665,23.050569407283632
RIETI,5705920014.0,85.0,8.112285714285713,5.725946188905529,12.308333333333334,7.655632388311058,12.579500000000001,17.86572129495165,16.443333333333335,18.205073570400746,14.103571428571428,21.668600584387406,18.21666666666667,22.164784798982037,17.801,25.24831453780628,22.36,25.370478798092176
RIETI,5705920010.0,64.0,6.858000000000001,5.2146232255662905,10.96547619047619,7.275792506208969,11.456300000000002,18.168304580902547,15.194999999999999,18.572201532211693,13.941714285714285,21.43673205593836,18.11904761904762,21.674072299706626,16.785800000000002,25.52356979734614,20.986666666666668,25.6816931122368
RIETI,5705920006.0,38.0,16.72814285714286,5.98804497256046,23.21309523809524,7.200579210354606,20.387000000000004,17.43238722735485,26.43833333333333,16.62262895001499,24.34957142857143,19.77671248259042,30.23809523809524,18.470135339810028,26.244800000000005,24.023831640685465,31.87,22.567547988698774
RIETI,5705910011.0,803.0,10.254714285714286,6.138672086779926,14.345238095238091,7.37713442551458,13.9373,17.594434360204808,17.586666666666666,16.832273160600927,17.129285714285714,20.380887915841527,20.66904761904762,18.990681020133678,19.8036,24.251480486766162,23.236666666666668,22.666940562070664
RIETI,5705910015.0,38580.0,5.673785714285714,5.354137568684205,9.745238095238095,6.70464639427638,10.189,17.72858986057392,14.315,18.06530070345282,12.599285714285715,21.04763066407781,16.91190476190476,21.388002249196635,15.0836,25.22145092574969,19.613333333333333,25.556906546415636
RIETI,5705920004.0,75.0,10.26507142857143,3.6332733379628412,15.191666666666666,4.235078128221102,14.873599999999998,15.424512160122854,19.588333333333335,15.444310650899299,15.085571428571427,19.15515240396295,19.75952380952381,19.456163588624086,18.958199999999998,21.94692764830649,23.786666666666665,22.027417889732078
RIETI,5705910019.0,90.0,22.17707142857143,6.964962581646528,24.330952380952382,6.88839559658081,26.323700000000002,18.319391875217306,27.723333333333333,16.34613481703825,29.301428571428573,21.711488831623555,30.823809523809523,18.939178619266645,33.239599999999996,25.031121305287147,33.016666666666666,22.78265970718374
RIETI,5705910016.0,353.0,10.704785714285714,5.563893008684469,16.52380952380953,6.548464014742767,14.9551,17.08602114432861,20.176666666666666,16.190008349916635,17.11142857142857,20.47176959341117,21.704761904761902,19.409349394437307,19.676599999999997,24.41416299609716,24.689999999999994,22.97475849226228
