Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
TREVI NEL LAZIO,1666.0,2.9798403361344534,2.9798403361344534,2.9798403361344534,37.81049219687875,10.509483793517406,10.509483793517406,10.509483793517406,124.90144057623048,4.84580277147141,4.84580277147141,4.84580277147141,6.0054578926173505,7.931381062309108,7.931381062309108,7.931381062309108,23.275598214057194
TREVIGNANO ROMANO,5356.0,1.861280433159074,1.5925276325616133,1.7547242345033605,1.7547242345033605,20.188794498381878,13.679499626587006,16.269034727408517,16.269034727408517,2.730736978261444,2.4134844681036953,2.2738231632600145,2.2738231632600145,15.802577829246175,18.642421837714878,16.255673036334038,16.255673036334038
TRIVIGLIANO,1562.0,1.6330390524967995,0.8046184379001281,0.8046184379001281,6.812516645326505,29.15234741784038,11.011555697823303,11.011555697823303,23.128947930004266,1.2099959710676726,0.6203646776963799,0.6203646776963799,0.8182987942473495,20.308794391337695,8.127951031038693,8.127951031038693,7.962462570410311
TURANIA,213.0,96.958,17.572,100.302,100.302,194.41666666666663,111.48333333333332,196.09999999999997,196.09999999999997,,,,,,,,
TUSCANIA,7413.0,0.213,0.213,0.213,0.213,2.7333333333333334,2.7333333333333334,2.7333333333333334,2.7333333333333334,,,,,,,,
VACONE,151.0,7.233,50.921,62.326,12.692,17.25,191.7,249.5666666666666,40.13333333333333,,,,,,,,
VALENTANO,2640.0,0.865,1.013,1.013,1.013,11.716666666666669,14.766666666666667,14.766666666666667,14.766666666666667,,,,,,,,
VALLECORSA,1895.0,0.29,0.29,0.29,10.442,4.633333333333334,4.633333333333334,4.633333333333334,32.25,,,,,,,,
VALLEMAIO,607.0,1.4739703459637563,1.3402932454695224,1.3402932454695224,7.681401976935751,21.385694673256456,20.074025260845687,20.074025260845687,33.724464579901145,1.4425471107269485,1.1577677516093918,1.1577677516093918,2.0070624720388417,21.010548717427806,18.631717282335757,18.631717282335757,10.911872569039787
VALLEPIETRA,239.0,54.921,54.921,54.921,27.707,215.0,215.0,215.0,60.91666666666666,,,,,,,,
VALLERANO,2356.0,0.238,0.873,0.873,2.131,3.6666666666666665,13.366666666666667,13.366666666666667,20.78333333333333,,,,,,,,
VALLEROTONDA,1299.0,9.430240954580446,9.430240954580446,9.430240954580446,18.214451116243264,34.15368231973313,34.15368231973313,34.15368231973313,40.42141390813447,26.864888028534835,26.864888028534835,26.864888028534835,19.023009874791857,59.49956832576503,59.49956832576503,59.49956832576503,49.30393222791587
VALLINFREDA,292.0,27.994897260273973,4.739917808219177,13.112897260273972,121.96089726027398,177.94326484018262,42.56678082191781,100.07659817351599,265.4432648401826,0.5876057351660207,1.0069200564096439,0.5876057351660207,0.5876057351660332,3.0759144981614774,27.49466867513692,3.075914498161498,3.075914498161498
VALMONTONE,14761.0,1.681308255989883,1.6881544339814378,0.8162391775624956,0.905529977643791,18.131000986081943,23.600484836167382,11.5582458279701,12.805141363502925,2.712340578008431,2.3086241894253816,2.9015563065362002,2.88374306241038,9.920416035680544,6.247963490432524,8.815883708146085,8.596009248482694
VARCO SABINO,116.0,78.37754310344828,52.479724137931036,52.520275862068964,52.520275862068964,182.0433908045977,133.93117816091953,133.72399425287355,133.72399425287355,16.546566119087473,31.73109097294534,32.11158380294148,32.11158380294148,72.97424456868579,62.99806066973924,64.63002469899413,64.63002469899413
VASANELLO,3720.0,0.593,0.216,0.484,9.876,8.983333333333333,2.9,7.05,25.666666666666668,,,,,,,,
VEJANO,1874.0,0.048,0.329,0.041,35.386,0.6833333333333333,4.033333333333333,0.6166666666666667,101.18333333333334,,,,,,,,
VENTOTENE,540.0,0.271,0.271,0.271,,3.95,3.95,3.95,,,,,,,,,
VEROLI,17238.0,9.457866614456433,9.320383960684866,9.15357655567158,7.249367502030397,56.441339772595434,53.20487475068923,55.336005079217756,40.340175291023705,8.5245594237925,8.686303429167626,8.659765364343576,11.322849032220182,32.19576005561152,32.085577422185196,35.238648856704245,39.92099407365752
VETRALLA,12077.0,3.2688394054814935,2.473035066655627,2.643669040324584,2.703537467914217,35.09108705252408,24.114023212166376,19.831108719052747,20.46915141729458,8.832420234921457,5.658674387610582,3.693899457213204,3.673775214272098,44.26114796014672,19.682985461221744,16.064356680413802,15.542904776420938
VICALVI,497.0,0.5580845070422535,0.5580845070422535,5.774020120724346,5.774020120724346,6.239067739771965,6.239067739771965,15.91861167002012,15.91861167002012,1.2968338366961283,1.2968338366961283,1.2961267299149417,1.2961267299149417,6.835365551469958,6.835365551469958,6.976786907707269,6.976786907707269
VICO NEL LAZIO,1738.0,1.5953918296892982,1.7700264672036825,1.6830615650172613,8.527899884925201,28.661929420790184,30.571787495205218,29.516302263137707,36.91756808592252,1.264104482571414,1.3666977232243664,1.25466489549999,2.7547997939527122,20.760248951010595,22.105663163889563,20.506304360330716,13.57885211892835
VICOVARO,3381.0,1.2102505175983438,1.3012505175983438,1.4782682638272702,1.4782682638272702,11.102109829439023,11.335443162772355,14.735443162772354,14.735443162772354,2.222531345860691,2.222531345860691,2.2230467643904093,2.2230467643904093,6.499636741986262,6.4996367419862615,6.499636741986261,6.499636741986261
VIGNANELLO,4028.0,0.7911717974180735,0.7911717974180735,0.530682224428997,0.519682224428997,11.916542535584242,11.916542535584242,6.792212843429328,6.641708043694142,2.0986560779063668,2.0986560779063668,2.2277004586194553,2.227700458619456,1.6193562964384394,1.6193562964384394,4.595418410805525,4.586130459613266
VILLA LATINA,760.0,1.470392105263158,1.4235842105263161,1.2380118421052633,7.1837684210526325,19.768552631578945,19.178508771929824,16.35997807017544,50.759868421052644,1.4405892312985458,1.458463917963006,1.7649261552068782,2.853770371514382,18.466689229829775,18.729665516777665,22.784902002406316,41.36282661915075
VILLA SAN GIOVANNI IN TUSCIA,1111.0,0.187,0.187,6.7,8.14,2.8833333333333333,2.8833333333333333,21.616666666666667,25.166666666666668,,,,,,,,
