Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min,std_diff
MOMPEO,244.0,6.05394262295082,6.05394262295082,14.813229508196724,15.331786885245902,9.72172131147541,9.72172131147541,24.02035519125683,26.663114754098363,1.359766340221731,1.359766340221731,0.7806458864299479,0.3719381669041238,2.628080203410001,2.628080203410001,0.9074537025227348,0.9899494936611656,244.0,5.91111475409836,5.91111475409836,47.63657377049181,50.3931393442623,74.30696721311476,74.30696721311476,192.02800546448088,208.0334699453552,0.9036824663564074,0.9036824663564074,23.66969239343849,27.729192424230465,13.376103277445525,13.376103277445525,108.59981647723392,126.9845927880842,-0.1428278688524598,64.58524590163935,-0.1428278688524598,64.58524590163935,32.82334426229508,168.00765027322404,35.0613524590164,181.37035519125683,59.71095300417275
MONTASOLA,231.0,7.358917748917748,1.1901341991341992,6.467450216450217,14.153532467532466,12.983982683982685,2.364213564213564,11.200793650793653,19.21269841269841,1.0371043020513098,1.825180630330416,1.0375732905840116,1.822778373801928,1.2473304828045129,3.362084340273324,0.9858724280780156,2.885034822307336,231.0,8.740597402597402,0.8513809523809523,8.699800865800865,42.80016883116883,71.39992784992786,13.57676767676768,70.08989898989898,133.02438672438672,1.9351672623660552,1.3770810917783067,0.5355492507697122,23.427280728529578,53.28058850192171,22.742220892232822,62.98765825614246,41.13960311481437,1.3816796536796536,58.415945165945175,-0.3387532467532468,11.212554112554116,2.232350649350648,58.88910533910533,28.646636363636368,113.8116883116883,27.39050183411148
MONTE SAN GIOVANNI IN SABINA,472.0,2.115463983050848,2.115463983050848,23.216059322033896,19.01391737288136,3.701765536723164,3.701765536723164,32.63110875706215,23.065430790960452,1.439525952064313,1.439525952064313,4.976223105930843,1.317756730204782,2.1576993920995267,2.1576993920995267,1.9745815309128725,1.526785536371784,472.0,2.373959745762712,2.373959745762712,36.65451059322034,19.503510593220337,31.403354519774016,31.403354519774016,116.09943502824858,43.68276836158192,3.666543040340133,3.666543040340133,2.3880032174741013,2.3880032174741017,19.34251625784984,19.34251625784984,7.257683029932007,7.257683029932001,0.25849576271186425,27.70158898305085,0.25849576271186425,27.70158898305085,13.438451271186441,83.46832627118643,0.48959322033897834,20.61733757062147,32.19694078513221
MONTEBUONO,604.0,0.8619933774834437,0.8890546357615895,9.60664072847682,9.60664072847682,1.601131346578366,1.769370860927152,14.439072847682118,14.439072847682118,1.016402282563356,0.9820205700493244,0.9758508936649428,0.9758508936649428,1.822018111874852,1.7369646790583555,1.7079769275915837,1.7079769275915837,604.0,0.858317880794702,0.8448145695364239,8.748178807947019,8.748178807947019,12.905187637969096,12.810044150110375,69.51255518763796,69.51255518763796,1.009786462575133,0.9480822221727396,1.0085423144320718,1.0085423144320718,15.469578270006323,14.626895571995927,12.898563299266517,12.898563299266517,-0.003675496688741786,11.30405629139073,-0.04424006622516563,11.040673289183223,-0.8584619205298019,55.07348233995584,-0.8584619205298019,55.07348233995584,25.346664146485708
MONTENERO SABINO,141.0,5.837929078014184,5.837929078014184,14.051347517730497,14.051347517730497,10.66737588652482,10.66737588652482,21.84160756501182,21.84160756501182,0.9424862510049326,0.9424862510049326,0.9548781772212268,0.9548781772212268,2.099889767829977,2.099889767829977,1.8335605919752005,1.8335605919752005,141.0,38.36239007092198,38.36239007092198,78.41192907801417,78.41192907801417,114.1630023640662,114.1630023640662,784.984988179669,784.984988179669,28.25360364626077,28.25360364626077,1.149923620651973,1.149923620651973,33.13665867507085,33.13665867507085,2.6128599344467154,2.6128599344467154,32.5244609929078,103.49562647754138,32.5244609929078,103.49562647754138,64.36058156028368,763.1433806146572,64.36058156028368,763.1433806146572,380.8478084213959
MORRO REATINO,270.0,6.270466666666666,7.489155555555556,11.472244444444446,16.859666666666666,10.241851851851852,12.266296296296296,18.885,20.52148148148148,1.8880045903899003,1.0410774867094827,1.579540861558615,1.9701559159958213,3.230239069239991,3.212187439759416,1.005586248764224,3.227141838290416,270.0,9.49378888888889,33.937788888888896,38.63978888888889,21.13678888888889,52.17555555555556,124.35277777777776,112.01944444444445,76.83611111111111,0.965693015403964,2.6934722942699816,2.693472294269981,2.6934722942699816,17.548617651583886,9.787071025555065,9.787071025555043,9.787071025555052,3.223322222222224,41.93370370370371,26.44863333333334,112.08648148148146,27.16754444444444,93.13444444444444,4.277122222222225,56.31462962962963,36.29074213944937
NESPOLO,186.0,32.361,6.397,31.85,31.85,47.78333333333333,11.533333333333331,47.35,47.35,,,,,,,,,186.0,91.982,6.705000000000001,91.599,91.599,212.5166666666667,53.13333333333333,207.46666666666667,207.46666666666667,,,,,,,,,59.621,164.73333333333338,0.3080000000000007,41.6,59.749,160.11666666666667,59.749,160.11666666666667,69.7965276914101
PAGANICO SABINO,122.0,6.902,11.678,21.15,22.298,9.883333333333333,18.133333333333333,29.666666666666668,33.13333333333333,,,,,,,,,122.0,7.126,30.072,83.637,39.108,37.25,180.71666666666667,205.1833333333333,154.55,,,,,,,,,0.2240000000000002,27.366666666666667,18.394,162.58333333333334,62.487,175.51666666666665,16.81,121.41666666666669,82.05611957227357
PESCOSOLIDO,781.0,2.2052343149807934,0.8504097311139566,5.493642765685019,7.2340576184379,3.958557405036278,1.4697823303457107,8.15362782757149,11.626525821596244,1.433567199913093,1.659129164150077,2.572140289071859,2.068530134338552,2.570789437766799,2.5637429234963824,2.7597302605709704,3.0646430521411534,781.0,2.2052343149807934,1.0679154929577466,8.038284250960308,9.548691421254802,28.56587708066581,12.441890738369612,75.08894579598805,40.50556978233035,1.433567199913093,3.266909344727317,7.736443902078008,4.060141746294087,18.960089662235248,18.570598526424224,32.22921487822294,22.2930731643511,0.0,24.607319675629533,0.21750576184379,10.972108408023901,2.5446414852752888,66.93531796841657,2.3146338028169016,28.8790439607341,29.181784415644312
POGGIO NATIVO,2226.0,3.033589173405211,3.033589173405211,10.107922731356696,10.649503593890383,5.947780023959269,5.947780023959269,14.209276729559749,15.41509433962264,2.923058317682257,2.923058317682257,2.5061686609529814,2.5062932183662334,3.2494527927607986,3.2494527927607986,3.3194584744340547,3.291234148799234,2226.0,2.7419730458221023,2.7419730458221023,11.987183288409703,12.586183288409702,33.55419661575322,33.55419661575322,90.51266846361186,91.82933513027852,2.5871390258905134,2.5871390258905134,4.116862076526593,4.116862076526593,13.772641126566484,13.772641126566484,24.888034891368346,24.88803489136835,-0.29161612758310884,27.606416591793952,-0.29161612758310884,27.606416591793952,1.8792605570530068,76.30339173405211,1.9366796945193183,76.41424079065588,28.115211707103263
PONZANO ROMANO,969.0,0.214,0.214,8.912,10.346,1.4166666666666667,1.4166666666666667,11.066666666666666,16.2,,,,,,,,,969.0,0.214,0.214,14.989,15.145,4.133333333333334,4.133333333333334,68.88333333333334,36.53333333333333,,,,,,,,,0.0,2.716666666666667,0.0,2.716666666666667,6.077,57.81666666666668,4.7989999999999995,20.333333333333332,31.811999832348384
