Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,IC_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,IC_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,IC_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min,IC_St.Dv_min
PROSSEDI,728.0,2.0723846153846157,2.0723846153846157,2.023649725274725,13.11203434065934,2.8869963369963374,2.8869963369963374,3.500732600732601,15.558905677655673,5.367698637839746,5.367698637839746,4.755148043611961,1.5636338819131113,7.231022416310518,7.231022416310518,7.365535358078943,2.569875339244934
RIANO,9520.0,2.541914390756302,2.643931722689076,1.9517411764705883,1.7398920168067225,5.146545868347339,5.478851540616247,4.261134453781513,3.7568539915966386,1.1009777977375887,1.1010223121919211,2.0658344829901334,2.0658176011233693,1.6210160089383967,1.5775772564283501,2.6509039338811706,2.6607239917912997
RIETI,42476.0,6.110110943322615,10.589089295131368,13.003934457105194,15.51217954609662,10.270257153619525,14.769757470885517,17.330628108197793,20.037940013183913,4.744767843023059,4.930649525316312,5.1947302299828175,5.16303783750056,5.328619845704854,5.534454578685326,5.696090119319979,5.565234401907741
RIGNANO FLAMINIO,8819.0,1.3331251842612541,1.8170369656423628,1.8378615489284498,1.8378615489284498,2.5124844086631137,3.453689004800242,3.534862229277696,3.534862229277696,2.266715160545678,2.4356699088262976,2.435429657996227,2.435429657996227,2.4883564835887144,2.657255217513984,2.6946178965607737,2.6946178965607737
RIOFREDDO,698.0,0.144,0.144,0.144,,0.7999999999999999,0.7999999999999999,0.7999999999999999,,,,,,,,,
RIPI,3948.0,2.3915504052684904,2.424345364741642,2.3915504052684904,2.3915504052684904,3.724446977372509,3.776498649105032,3.724446977372509,3.724446977372509,1.8542967231374872,1.7124596811261743,1.8542967231374872,1.8542967231374872,2.126484638657317,1.9606015233426024,2.126484638657317,2.126484638657317
RIVODUTRI,1043.0,1.91547171620326,1.9368139980824546,7.447614573346117,12.703008628954938,3.3933365292425695,3.3781240012783638,12.672147651006712,15.169287312240332,1.8911976687332879,1.7815745969350945,1.7702342468975365,2.5407565714872327,3.120090711723413,3.137361968829352,2.1816582491420107,3.838687484666898
ROCCA CANTERANO,180.0,10.724333333333334,3.7963333333333327,12.671333333333335,14.300333333333336,18.216666666666665,7.1722222222222225,19.18888888888889,21.072222222222223,1.1568266940211913,1.1568266940211915,1.1568266940211924,1.1568266940211913,1.272792206135786,1.2492219800962339,1.2492219800962332,1.1431559629182522
ROCCA D'ARCE,521.0,3.5163608445297507,3.5163608445297507,3.70400575815739,3.70400575815739,5.888451695457453,5.888451695457453,6.581605886116443,6.581605886116443,2.0606260699117636,2.0606260699117636,0.8078374217625723,0.8078374217625723,3.154436910483743,3.154436910483743,1.518286680585865,1.518286680585865
ROCCA DI CAVE,231.0,6.398337662337663,6.265090909090908,5.522337662337662,6.265090909090908,13.356277056277056,13.302597402597403,10.655844155844155,13.302597402597403,3.99373910014162,3.994446206922807,3.993739100141621,3.994446206922807,7.719249027953144,7.825315045131127,7.624968123794937,7.825315045131127
