Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
GRECCIO,1196.0,1.3606254180602007,3.4065426421404683,1.844176955085023,3.459367315308135
GROTTAFERRATA,20012.0,1.6990480711573055,4.437675172674174,1.0424431106246943,1.418299712357749
GROTTE DI CASTRO,2294.0,2.131,4.2250000000000005,,
GUARCINO,1028.0,0.6376420233463035,2.339802204928664,1.8045365055880693,1.8266925180652476
ISCHIA DI CASTRO,1958.0,0.868,2.6166666666666667,,
ISOLA DEL LIRI,8806.0,4.60129131652661,13.272776137482019,1.0412734867489657,3.1295569068129434
ITRI,8098.0,1.0758046019593315,3.16782195878269,1.945393194332589,3.0713875556098174
JENNE,317.0,0.4823091482649842,1.761724500525762,0.2672863632885149,0.5303300858899108
LABICO,6129.0,2.126563876651982,2.985147114809376,3.411083112443905,5.008673033404712
LABRO,135.0,5.41457037037037,9.368271604938272,1.7667332377394542,2.4120261960373415
LANUVIO,9621.0,1.7043853029830578,3.236427837254155,1.4797140757699598,1.9162531184865295
LARIANO,13106.0,0.8250000000000001,1.6444444444444444,,
LATERA,749.0,0.5379158878504673,1.675545171339564,1.7338258274694145,1.9327585352432302
LENOLA,3624.0,2.19008126379691,4.816719554819722,1.8672903688041054,1.7148347059652918
LEONESSA,2004.0,4.780567864271457,6.436651696606787,3.4335811725440832,3.344252651518357
LICENZA,809.0,0.5258794808405438,1.7586217552533991,2.310117854136451,3.712310601229375
LONGONE SABINO,383.0,3.8110435161009573,6.351624601102409,3.995398171183479,6.116424247559328
LUBRIANO,450.0,3.21,5.283333333333333,,
MAENZA,1713.0,1.2999894921190893,3.0262405137186223,2.323005811443441,3.295114228335305
MAGLIANO ROMANO,1321.0,0.2189999999999999,0.6833333333333333,,
MAGLIANO SABINA,2486.0,2.089363904532046,4.667947170823278,2.964879135004526,3.9798256677496586
MANDELA,839.0,4.469395709177593,6.935207257316911,0.7669751553270082,0.9781643806413917
MANZIANA,7105.0,0.5243080928923295,2.394386582219094,1.276064620881978,1.3557566638918812
MARANO EQUO,782.0,0.266,0.95,,
MARCELLINA,6813.0,0.7106645628455405,2.354211719425282,2.4309851759988024,2.7275477009404163
MARCETELLI,69.0,9.566,20.433333333333334,,
MARTA,3064.0,0.667,2.111111111111111,,
MAZZANO ROMANO,2452.0,0.412,2.2333333333333334,,
MENTANA,21103.0,1.0724272378334834,2.352501750672627,1.8236565587973097,2.5546544304972554
MICIGLIANO,114.0,10.413,15.946491228070174,21.845356897977197,23.01632572762212
MINTURNO,18927.0,1.239769429914936,3.2226642714992684,1.065978674905617,1.6093592007494901
MOMPEO,251.0,1.041772908366534,2.4632138114209825,1.9089198516438555,3.5179829027020157
