Comune,Popolazione_totale_driving,mean_km_driving,mean_min_driving,St.Dv_km_driving,St.Dv_min_driving,Popolazione_totale_transit,mean_km_transit,mean_min_transit,St.Dv_km_transit,St.Dv_min_transit,Hospital_diff_km,Hospital_diff_min
BELLEGRA,2058.0,15.621529640427598,24.57452218982831,1.305509734420493,1.0785363882320989,2058.0,51.43919096209913,141.18043407839326,17.876854775565715,31.004063353767748,35.81766132167154,116.60591188856495
BRACCIANO,16521.0,1.7044520912777674,3.704095797268124,3.019898653560708,3.153896766670529,16521.0,2.384091519883784,14.11366442709279,3.155361238344105,13.071130308082166,0.6796394286060168,10.409568629824665
CAMERATA NUOVA,382.0,32.725,36.93333333333333,,,397.0,40.976984886649866,129.48904282115868,0.5055813485483789,0.7306770072260977,8.251984886649865,92.55570948782534
CAMPAGNANO DI ROMA,8623.0,27.658114229386527,33.16489814063164,2.515281478615598,2.1654269957849133,8623.0,65.21514067030037,146.1520410529978,23.17890122503653,25.28830931404792,37.557026440913845,112.98714291236615
CANALE MONTERANO,3134.0,9.284331206126357,12.53396085939162,0.7917004378761792,1.4867547931030218,3134.0,11.122867262284618,69.35411614550095,1.4542924969436744,5.178058677406684,1.8385360561582615,56.82015528610933
CANTERANO,317.0,11.011,16.616666666666667,,,329.0,9.999015197568388,67.71261398176291,0.4843681451127841,6.54073772597557,-1.011984802431611,51.09594731509625
CAPENA,9992.0,57.30727101681345,53.51765078729651,1.6449511499477076,2.14087209644419,9992.0,62.12054657293498,146.329849516696,4.12465731909937,22.89776230373873,4.813275556121525,92.81219872939948
CAPRANICA PRENESTINA,272.0,18.35108455882353,31.62549019607843,2.4376646611049693,2.6169497369888326,272.0,37.153246323529416,176.075306372549,5.317794310927543,9.184321382620457,18.802161764705886,144.44981617647056
CARPINETO ROMANO,3866.0,19.196,22.7,,,3866.0,19.285,31.216666666666665,,,0.08899999999999864,8.516666666666666
CASAPE,622.0,6.71,10.466666666666669,,,622.0,7.212,25.616666666666667,,,0.5019999999999998,15.149999999999999
CASTEL GANDOLFO,8424.0,3.41791690408357,6.794349477682811,1.006719590220302,1.829617446353199,8424.0,3.5217535612535618,13.404969927192148,1.6586567858762504,5.934511431105844,0.10383665716999158,6.610620449509337
CASTEL MADAMA,6135.0,7.425686226568868,10.62037489812551,2.9493872866523763,3.1683752700480183,6135.0,11.105153545232271,47.00120619396903,3.3163438100816185,12.944212205832752,3.679467318663403,36.38083129584352
CASTEL SAN PIETRO ROMANO,753.0,4.7751792828685256,9.407060646303671,1.7858716825871526,3.0597862125754247,754.0,5.420196286472148,23.70192307692308,2.484722781317868,4.291098667914521,0.6450170036036225,14.294862430619409
CASTELNUOVO DI PORTO,7705.0,55.858133939000645,51.60718148388493,3.417432146537876,2.39987323298368,7705.0,59.45709279688514,137.78948734587928,2.2774657490498624,24.457130726768494,3.5989588578844973,86.18230586199435
CAVE,10073.0,6.644809589993051,11.51601806810285,1.6524822490221591,2.3306085280696784,10073.0,7.038470961977564,28.16468943379993,7.764146803308999,18.143167140521225,0.39366137198451234,16.648671365697076
CERRETO LAZIALE,1069.0,18.297047708138447,30.55322731524789,1.6312953441973643,1.4142135623730951,1069.0,65.44858559401308,170.87394761459308,2.164453857212027,3.74766594028871,47.15153788587463,140.3207202993452
CERVARA DI ROMA,347.0,14.271190201729109,22.751536983669546,5.849840532014526,10.421847600469285,387.0,12.932993442622948,45.31584699453551,4.340616853244094,31.834997193282376,-1.338196759106161,22.564310010865967
CERVETERI,31366.0,18.99757482624497,20.056456035197343,3.333783761496995,3.890270796659922,31451.0,25.21287311034022,64.2673079575231,26.093564054861208,76.33137186845558,6.2152982840952475,44.21085192232576
