Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km_driving,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min_driving,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km_driving,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min_driving,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,IC_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,IC_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,IC_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,IC_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min,IC_diff_km,IC_diff_min
AMASENO,2299.0,0.6708094823836451,0.955619399739017,0.6060578512396695,0.6060578512396695,2.212534435261708,2.3057633753806006,1.9605118167319129,1.9605118167319129,0.2834960317182589,0.8001538914483889,0.3594944366746165,0.3594944366746165,0.3278366237195775,2.214195573348713,0.4866742769572394,0.4866742769572394,2299.0,0.2559556328838625,0.6334984775989561,0.3350356676816007,0.3350356676816007,3.633935044222125,9.316166449180802,4.613208641438306,4.613208641438306,0.5119931640168646,0.5535746712654642,0.5048645858049462,0.5048645858049462,7.057756109153694,8.340891017329202,7.043139228013683,7.043139228013683,-0.4148538494997826,1.4214006089604174,-0.32212092214006094,7.010403073800202,-0.2710221835580688,2.6526968247063936,-0.2710221835580688,2.6526968247063936
AMATRICE,1806.0,3.901634551495016,3.9392070874861576,3.9392070874861576,3.9392070874861576,6.329401993355482,6.50296234772979,6.50296234772979,6.50296234772979,2.843038561270242,3.046739496243651,3.046739496243651,3.046739496243651,3.5607902287469977,3.793695441208232,3.793695441208232,3.793695441208232,1806.0,11.014126799557031,10.71444130675526,10.71444130675526,10.71444130675526,39.83313953488372,37.78594499815429,37.78594499815429,37.78594499815429,25.82557242375264,25.799888644715317,25.799888644715317,25.799888644715317,61.04773143438685,59.67444594457724,59.67444594457724,59.67444594457724,7.112492248062015,33.50373754152824,6.775234219269103,31.2829826504245,6.775234219269103,31.2829826504245,6.775234219269103,31.2829826504245
ANAGNI,14668.0,3.920528661030816,3.92870394055086,2.720419484592309,2.7634037701118075,6.70955935824016,6.73108171984365,5.211577356603946,5.234303131533498,2.1421140056854693,2.1366486732695704,2.139296829278416,1.9554716634455385,2.850180693027371,2.810100633900781,3.010237644151041,2.621530450273161,14668.0,4.760661344423235,4.768457935642215,3.340983796927552,3.37313693073357,35.72091696209436,35.747368875556774,25.205201799836377,27.65063005635851,5.391313564637672,5.387378852443352,5.476635586034753,5.494291150366897,20.73370554905398,20.72008258241801,20.402142291104543,21.60531891074609,0.8401326833924188,29.011357603854197,0.8397539950913551,29.016287155713123,0.6205643123352429,19.99362444323243,0.6097331606217624,22.41632692482501
ANGUILLARA SABAZIA,17530.0,3.411358490207263,3.3472051720859484,3.253728123217342,3.253728123217342,6.789436204601636,6.369140204094569,5.827226659060657,5.827226659060657,3.2572367783603067,3.206731192571985,3.323471118082309,3.323471118082309,3.3562180762776883,3.2668995141365715,3.4648829910134262,3.4648829910134262,17530.0,7.194953812511884,7.159339741395704,7.541654934398175,7.541654934398175,46.304284718260746,44.13816980414527,47.125379349686256,47.125379349686256,14.275770592160692,13.759309165694756,16.276599499113612,16.276599499113612,51.55328487902766,50.47716769464809,54.98204376306538,54.98204376306538,3.7835953223046213,39.51484851365911,3.8121345693097557,37.7690296000507,4.287926811180833,41.2981526906256,4.287926811180833,41.2981526906256
ANTICOLI CORRADO,794.0,6.671,0.375,0.375,,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,,,,,794.0,5.061,0.38,0.38,,39.56666666666667,5.583333333333332,5.583333333333332,,,,,,,,,,-1.6100000000000003,25.250000000000004,0.0050000000000000044,4.349999999999999,0.0050000000000000044,4.349999999999999,,
ANTRODOCO,2289.0,0.5958818261249454,0.812003494975972,0.3097291393621669,29.74767365661861,1.499537643803699,2.1308213193534296,0.7434469200524246,40.86928061744575,4.435944213186184,4.262819802274859,4.6149410523501455,7.411152699366903,4.465707815822292,4.090107759152744,4.933126872556668,4.761681542387218,2289.0,0.5603529925731761,0.7850537352555701,0.272177370030581,33.7443377020533,6.776802096985582,9.960382991116935,2.790643658074851,79.63604193971166,3.5752714232628557,3.6233116068039193,3.533097885237072,12.941372840622432,20.497453969041203,19.178098040328305,23.249931799979624,17.610236790424334,-0.03552883355176939,5.277264453181884,-0.026949759720401922,7.829561671763505,-0.03755176933158588,2.0471967380224263,3.9966640454346916,38.76676132226591
AQUINO,3586.0,0.6289141104294479,0.8066302286670386,0.5899325153374233,0.5899325153374233,1.2347137014314928,1.754108570366239,0.9146635062279236,0.9146635062279236,2.3110671488874286,2.654543331723933,2.8361504661541965,2.8361504661541965,2.974257221310644,3.087713105555991,3.8012132566092927,3.8012132566092927,3586.0,0.6275527049637479,0.548606525376464,0.584622699386503,0.584622699386503,6.755344859639339,5.476854433909649,5.9007064510132,5.9007064510132,2.317141924872104,2.753460616509099,2.840869755315556,2.840869755315556,17.088220235979325,17.419212466783996,16.805208903679127,16.805208903679127,-0.0013614054656999608,5.520631158207847,-0.25802370329057456,3.72274586354341,-0.0053098159509202825,4.986042944785276,-0.0053098159509202825,4.986042944785276
ARCE,3260.0,5.451215337423312,2.6617690184049088,2.6617690184049088,2.6617690184049088,7.256605316973415,4.322878323108385,4.322878323108385,4.322878323108385,0.7053885580707578,1.99429862770938,1.99429862770938,1.99429862770938,0.807461956221351,2.3849228798552677,2.3849228798552677,2.3849228798552677,3260.0,10.780483895705522,3.367069631901841,3.367069631901841,3.367069631901841,50.632361963190185,18.550593047034763,18.550593047034763,18.550593047034763,3.8771995685682072,3.3178478237132394,3.3178478237132394,3.3178478237132394,17.688544707192953,12.79791053420495,12.79791053420495,12.79791053420495,5.329268558282211,43.37575664621677,0.7053006134969322,14.227714723926379,0.7053006134969322,14.227714723926379,0.7053006134969322,14.227714723926379
ARCINAZZO ROMANO,1179.0,4.4631967769296015,4.485813825275658,2.4155852417302803,13.935306191687872,7.351130901894261,6.091171897087928,3.830011309018943,17.824512298558098,4.152838125908594,0.240416305603426,4.711452483045966,5.191577987471632,3.2644763064778943,0.5597928684393497,5.173664615681575,6.010407640085652,1179.0,4.336985581000849,4.454879558948261,2.2460992366412214,39.26073876166242,29.51472999717274,12.707025728018095,6.922137404580154,117.50067854113657,5.283501869025883,0.0767210857587405,5.173900317941968,5.297644004649618,7.1535636030039065,1.0017346066809405,5.197234841721125,9.157032816365822,-0.12621119592875285,22.163599095278478,-0.03093426632739682,6.615853830930168,-0.16948600508905898,3.0921260955612104,25.325432569974545,99.67616624257846
ARICCIA,17837.0,3.136066984358356,2.9886669843583564,2.144726355328811,2.144726355328811,6.61923342864084,5.979210442712715,4.184904038422007,4.184904038422007,0.3897572577900251,0.3897572577900251,0.2234457428549489,0.2234457428549489,0.789602572324979,0.7825315045131118,0.483189633810807,0.483189633810807,17837.0,2.7073309749397327,2.685530974939732,2.0633127207490047,2.0633127207490047,35.007984152791025,34.60464315748164,33.88919661378034,33.88919661378034,0.1633416664540924,0.1633416664540924,0.2114249275747778,0.2114249275747778,1.430712720600771,1.4283556979968233,3.3234018715767704,3.3234018715767704,-0.42873600941862344,28.388750724150185,-0.3031360094186244,28.625432714768927,-0.08141363457980644,29.704292575358334,-0.08141363457980644,29.704292575358334
