Comune,Popolazione_totale_driving,SI_mean_km_driving,SP_mean_km_driving,SS_mean_km_driving,IC_mean_km,SI_mean_min_driving,SP_mean_min_driving,SS_mean_min_driving,IC_mean_min,SI_St.Dv_km_driving,SP_St.Dv_km_driving,SS_St.Dv_km_driving,IC_St.Dv_km,SI_St.Dv_min_driving,SP_St.Dv_min_driving,SS_St.Dv_min_driving,IC_St.Dv_min,Popolazione_totale_transit,SI_mean_km_transit,SP_mean_km_transit,SS_mean_km_transit,SI_mean_min_transit,SP_mean_min_transit,SS_mean_min_transit,SI_St.Dv_km_transit,SP_St.Dv_km_transit,SS_St.Dv_km_transit,SI_St.Dv_min_transit,SP_St.Dv_min_transit,SS_St.Dv_min_transit,SI_diff_km,SI_diff_min,SP_diff_km,SP_diff_min,SS_diff_km,SS_diff_min
CAMPAGNANO DI ROMA,8623.0,2.051841354516989,1.7736885074799955,1.4873882639452627,1.4873882639452627,5.24141636708029,3.997390699292589,2.5447156828636595,2.5447156828636595,1.762663703981373,1.762236552414762,1.614893288528172,1.614893288528172,2.417542944580072,2.4660847661980467,2.3614329845965862,2.3614329845965862,8623.0,1.5734719935057404,1.555289806331903,1.4245375159457263,21.176150991534268,20.9094843248676,19.6754107232595,1.5547413504074132,1.554269898269495,1.4166303916924368,22.77018996244708,22.770189962447084,22.01155578242853,-0.4783693610112487,15.934734624453977,-0.21839870114809257,16.91209362557501,-0.06285074799953638,17.13069504039584
CANALE MONTERANO,3134.0,1.0844642629227823,1.283508615188258,0.9947425015954052,3.034166879387365,2.1372420761540094,3.029179961710274,1.731844288449266,5.25149436290151,1.2260332717073112,1.0831246080976402,1.3824342057882295,0.9919208637789608,1.9440912377614223,1.570621485862157,2.3565265949258016,1.5275479625130526,3134.0,1.0828203573707722,1.2274735162731336,0.9930985960433948,14.484327802595194,13.812539885130825,13.020405232929162,1.2115676827977877,1.021665307231287,1.3669407448752122,15.736916964753789,14.579211322214164,17.879807045938723,-0.0016439055520101054,12.347085726441184,-0.05603509891512437,10.783359923420551,-0.0016439055520104384,11.288560944479897
CANTERANO,317.0,8.669,1.579,8.646,10.275,14.2,3.65,14.116666666666667,15.833333333333334,,,,,,,,,317.0,11.465,0.047,11.442,43.68333333333333,0.9666666666666668,43.36666666666667,,,,,,,2.7959999999999994,29.48333333333333,-1.532,-2.683333333333333,2.7959999999999994,29.25
CAPENA,9992.0,3.549187099679744,4.59502617093675,2.366638610888711,2.366638610888711,5.466868494795836,7.302707999733119,4.814314785161462,4.814314785161462,0.8300617877173789,0.4617940042713336,1.9515551430053104,1.9515551430053104,1.17623064001858,0.4038832667017704,2.349366682645305,2.349366682645305,9992.0,2.635463320656525,5.765967674139311,1.8445670536429144,17.909371663997863,23.11789514945289,15.76683513477449,0.9641700600837516,1.767724182590227,2.4845051150413573,15.403498022291924,14.64791290639139,18.40355958207556,-0.9137237790232189,12.442503169202027,1.1709415032025614,15.815187149719772,-0.5220715572457968,10.952520349613028
CAPRANICA PRENESTINA,272.0,10.546628676470588,12.359952205882353,16.062952205882354,16.472830882352945,17.199142156862745,22.00839460784314,28.38511029411765,27.467218137254903,5.250911444692246,3.25017420045962,3.250174200459621,5.514383495308734,7.488682819452986,4.878021380907693,4.818377243352709,7.360046044541961,272.0,10.594922794117648,76.38687168141594,73.42287168141593,25.713909313725487,182.7999262536873,177.466592920354,5.320100656942499,0.3867874093090394,0.3867874093090394,9.17545538278518,6.375746143698733,6.3757461436986524,0.048294117647060375,8.514767156862742,64.02691947553359,160.79153164584415,57.35991947553357,149.08148262623635
CARPINETO ROMANO,3866.0,0.78,0.794,0.025,21.048,2.466666666666667,2.466666666666667,0.05,30.633333333333333,,,,,,,,,3866.0,0.786,0.525,0.025,6.283333333333333,8.55,0.3666666666666666,,,,,,,0.006000000000000005,3.8166666666666664,-0.269,6.083333333333334,0.0,0.3166666666666666
CASAPE,622.0,5.985,0.622,3.438,32.533,9.766666666666667,2.2,6.416666666666667,48.16666666666666,,,,,,,,,622.0,3.3039999999999994,0.302,3.271,52.78333333333333,6.766666666666667,46.9,,,,,,,-2.681000000000001,43.016666666666666,-0.32,4.566666666666666,-0.16700000000000026,40.483333333333334
CASTEL GANDOLFO,8424.0,2.130804843304843,3.954922602089269,2.9605332383665712,2.9605332383665712,4.9631054131054135,8.907292655903767,7.703141817030707,7.703141817030707,1.5821442201434524,0.3409693290214432,1.7235377377166226,1.7235377377166226,3.537824713535664,0.715939553624776,3.947725552395586,3.947725552395586,8424.0,1.840571225071225,4.5124650997151,3.620481481481481,25.75102880658436,26.212143874643875,27.77507122507122,1.3109359252076356,0.5299826255013781,2.7686039803482188,16.988086784349573,4.718646522044218,20.48470974491299,-0.29023361823361826,20.78792339347895,0.557542497625831,17.304851218740108,0.65994824311491,20.07192940804051
CASTEL MADAMA,6135.0,0.7519641945123609,0.8060920945395271,0.5758431947840262,0.5758431947840262,2.1074037852032963,2.313683781581092,1.5918500407497962,1.5918500407497962,1.731185546467015,1.808112054049748,1.7847708443009334,1.7847708443009334,2.2912384560650687,2.4800985643495883,2.448463236853317,2.448463236853317,6135.0,0.7805786471067645,0.8253033414832925,0.6047571312143439,8.021587430951737,8.975457756044554,5.491496875848955,1.9156548711041836,2.065456115889821,1.992630966001148,8.057701949041581,11.123565658679906,7.662721207005792,0.02861445259440365,5.914183645748441,0.019211246943765414,6.661773974463461,0.0289139364303177,3.8996468350991584
CASTEL SAN PIETRO ROMANO,753.0,1.3755258964143429,1.3755258964143429,4.192220451527224,4.192220451527224,3.2852589641434267,3.2852589641434267,7.669079238601151,7.669079238601151,2.1501194346671384,2.1501194346671384,1.465874795699369,1.465874795699369,4.031573881620298,4.031573881620298,2.462778467052564,2.462778467052564,753.0,0.6362855245683932,0.6362855245683932,5.31607171314741,11.569588313413014,11.569588313413014,17.266666666666666,1.1987251561554884,1.1987251561554884,2.695163244901256,24.00632054118094,24.00632054118094,4.944776050053751,-0.7392403718459497,8.284329349269587,-0.7392403718459497,8.284329349269587,1.1238512616201852,9.597587428065514
CASTELNUOVO DI PORTO,7705.0,4.259032316677482,5.300273199221285,4.209819727449707,4.308244905905257,6.642512437810946,7.6057776335712735,6.467635734371619,6.81738914125027,3.0983158020969728,1.0872253292977805,3.070884881004325,3.1287352457654896,3.652303668911868,2.10268079707585,3.584147194398008,3.744548065072768,7705.0,7.385937637897469,13.862352109020115,7.354044516547695,35.11865347177158,55.18236102098204,34.56108587497295,7.809622653374185,2.19228227729308,7.830753855943944,22.436723192548587,19.311215625687545,22.699901521824472,3.1269053212199873,28.476141033960634,8.562078909798831,47.57658338741077,3.144224789097988,28.093450140601334
CAVE,10073.0,1.5356920480492404,1.7392838280551972,2.068145636850988,1.7392838280551972,3.0403454780105235,3.593130149905689,4.663739700188623,3.593130149905689,2.554022888829829,2.5194919296027387,2.524977359634472,2.5194919296027387,3.3235237602859384,3.28737765579981,3.312584729873727,3.28737765579981,10073.0,1.6464389953340617,1.711320559912638,2.240854164598431,14.595334061352132,15.586908898375196,24.379468215361197,9.469772630146233,9.430465135223535,14.64357521235849,29.80950126621948,29.15750649807327,50.34824190538298,0.11074694728482126,11.554988583341608,-0.027963268142559228,11.993778748469506,0.17270852774744316,19.71572851517257
CERRETO LAZIALE,1069.0,0.2629504209541628,7.669228250701589,7.669228250701589,,0.682725288431556,10.04396632366698,10.04396632366698,,1.8731258633631644,1.5351288219559935,1.5351288219559935,,3.005203820042827,1.1902964149973552,1.1902964149973552,,1069.0,0.2268419083255379,8.848572497661367,8.848572497661367,4.402510134081696,71.1872466479576,71.1872466479576,0.781352993211135,1.4340125522463187,1.4340125522463187,15.697770542341352,14.495689014324237,14.495689014324237,-0.03610851262862491,3.7197848456501403,1.1793442469597784,61.143280324290615,1.1793442469597784,61.143280324290615
CERVARA DI ROMA,347.0,12.918187319884728,13.352175792507207,15.191109510086456,14.180645533141211,21.25638808837656,22.27055715658021,23.568251681075893,23.171085494716618,5.858319518712968,5.574935956283863,3.2651757864878674,6.025020719189824,10.056620953381906,9.95281925441787,7.686977925662958,10.678378986427562,347.0,12.074588679245284,12.332588679245289,45.63052830188679,46.4522641509434,49.685597484276734,141.08622641509433,3.3893070579888955,3.3893070579888964,10.505737115182988,20.48696288248085,20.486962882480853,29.191670235036423,-0.8435986406394438,25.19587606256684,-1.0195871132619185,27.415040327696524,30.439418791800335,117.51797473401844
CERVETERI,31366.0,4.305610103296563,7.4963981819486065,4.739781089927521,4.7415638483283375,6.966912155412443,10.236071037641608,7.683357244574805,7.644621918992257,3.840430334787972,2.7780714171317147,3.6454967308876136,3.6459423448765262,4.518154673500146,3.162051611288545,4.189754310140063,4.182556009497016,31366.0,7.366491499773154,8.4409509009009,8.177267472508479,35.00946453647892,40.50593201114784,39.26044749785756,19.690618257778137,11.693894943196137,18.66714692024887,37.116740264730254,23.097252940517382,34.88892519011423,3.0608813964765913,28.04255238106648,0.9445527189522931,30.269860973506233,3.437486382580958,31.57709025328276
CIAMPINO,37832.0,1.868245351629762,1.647318797578769,2.870362338760837,2.870362338760837,5.918366034296993,5.29522328980757,8.8041441989145,8.8041441989145,1.1346773793030518,1.203494661206925,1.3698189313781235,1.3698189313781235,2.7457582309093844,2.9844230532295764,3.639925939708231,3.639925939708231,37832.0,1.627387177899284,1.4625648987629518,2.017410234721928,15.49043817780866,14.083983356241628,26.179386938746735,1.010030906203805,1.0391617508093909,1.319606470920493,10.926828098419458,11.330282518954478,8.88336683635244,-0.2408581737304778,9.572072143511667,-0.18475389881581727,8.788760066434058,-0.8529521040389088,17.375242739832235
CICILIANO,1113.0,0.4279748427672956,9.121264150943396,9.121264150943396,9.063748427672952,1.4625786163522017,11.430188679245282,11.430188679245282,11.917924528301889,0.8428712831743647,1.0924799769332152,1.0924799769332152,0.790545381366559,2.050609665440988,1.4495689014324216,1.4495689014324216,0.9192388155425112,1113.0,0.4279748427672956,8.829421383647798,8.829421383647798,7.551781970649895,27.17683438155136,27.17683438155136,0.8428712831743647,0.7389265863399428,0.7389265863399428,15.249936247589874,10.86587420423328,10.86587420423328,0.0,6.089203354297693,-0.29184276729559855,15.746645702306077,-0.29184276729559855,15.746645702306077
CINETO ROMANO,566.0,8.319825088339222,8.319825088339222,10.863825088339222,,11.9712308598351,11.9712308598351,17.738103651354535,,0.6074047250392444,0.6074047250392444,0.6074047250392444,,1.8031222920256968,1.8031222920256968,1.6263455967290572,,566.0,8.402946996466431,8.402946996466431,9.238932862190811,76.05965842167257,76.05965842167257,81.95818610129565,0.5600285706997455,0.5600285706997455,0.6293250352560265,7.330340298300548,7.330340298300548,5.114739050582695,0.08312190812720921,64.08842756183746,0.08312190812720921,64.08842756183746,-1.6248922261484111,64.22008244994112
CIVITELLA SAN PAOLO,1472.0,0.6256385869565217,0.6256385869565217,0.7406385869565217,0.6256385869565217,1.3889039855072465,1.3889039855072465,1.8007246376811594,1.3889039855072465,1.359766340221731,1.359766340221731,1.3597663402217308,1.359766340221731,2.4866588471726923,2.4866588471726923,2.2627416997969525,2.4866588471726923,1472.0,0.404804347826087,0.404804347826087,0.3119538043478261,3.2096920289855078,3.2096920289855078,2.571422101449275,1.8611050480829927,1.8611050480829927,2.0187898602875936,4.7847558860289725,4.7847558860289725,6.988572020727044,-0.22083423913043476,1.8207880434782613,-0.22083423913043476,1.8207880434782613,-0.42868478260869564,0.7706974637681154
COLLEFERRO,20520.0,1.8311240058479532,1.557760730994152,1.0006847709551658,1.0657356968810918,4.846935834957765,4.522719460688759,3.199295808966861,3.5303159519168297,1.381652566071997,1.5088073999023204,1.6290097388188527,1.6763340210113258,1.7632259471606984,2.000857917846094,2.583185479639862,2.8532013777250027,20520.0,1.1160602144249512,1.064537933723197,0.7380884990253411,9.928451754385966,9.158931124106562,7.683484405458088,1.912654068739736,1.9087869306621597,2.0134500811211256,8.842761634994652,9.99380118058374,11.48070845665313,-0.715063791423002,5.081515919428201,-0.49322279727095486,4.636211663417804,-0.2625962719298247,4.484188596491228
COLONNA,3915.0,1.4445555555555556,1.4445555555555556,1.4445555555555556,4.966821455938698,4.105278842060451,4.105278842060451,4.105278842060451,9.607705406555985,0.5981290273288309,0.5981290273288309,0.5981290273288309,0.1442601816164114,0.9141379262169074,0.9141379262169074,0.9141379262169074,0.3801802691316806,3915.0,0.3863233716475096,0.3863233716475096,0.3863233716475096,6.822664963814388,6.822664963814388,6.822664963814388,0.7389932340691625,0.7389932340691625,0.7389932340691625,12.776617097042724,12.776617097042724,12.776617097042724,-1.058232183908046,2.717386121753937,-1.058232183908046,2.717386121753937,-1.058232183908046,2.717386121753937
FIANO ROMANO,13944.0,1.7255,1.742333333333333,0.181,2.13,4.0,4.038888888888889,0.3833333333333333,4.85,,,,,,,,,13944.0,1.7634999999999998,1.7783333333333335,0.181,10.03333333333333,7.4111111111111105,2.6166666666666667,,,,,,,0.03799999999999981,6.03333333333333,0.036000000000000476,3.372222222222222,0.0,2.2333333333333334
FILACCIANO,370.0,0.596,3.791,6.143,18.818,2.2,6.516666666666667,8.966666666666667,23.98333333333333,,,,,,,,,370.0,0.551,4.701,7.093,7.983333333333333,15.483333333333333,46.15,,,,,,,-0.04499999999999993,5.783333333333333,0.9099999999999997,8.966666666666665,0.9500000000000002,37.18333333333333
