Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
GENAZZANO,5804210001,4151.0,10.509,,22.866666666666667,,1/1
GENAZZANO,5804220002,204.0,17.291,,43.516666666666666,,1/1
GENAZZANO,5804220003,56.0,8.93,,21.416666666666668,,1/1
GENAZZANO,5804226601,39.0,15.484,,59.4,,1/1
GENAZZANO,5804226604,28.0,16.705,,43.416666666666664,,1/1
GENAZZANO,5804226706,3.0,14.44,,43.6,,1/1
GENAZZANO,5804226707,9.0,9.906,,35.13333333333333,,1/1
GENAZZANO,5804226708,10.0,13.722,,40.483333333333334,,1/1
GENZANO DI ROMA,5804310001,850.0,14.427,,64.16666666666667,,1/1
GENZANO DI ROMA,5804310002,19339.0,1.353,,11.5,,1/1
GENZANO DI ROMA,5804320002,141.0,4.457,,31.75,,1/1
GENZANO DI ROMA,5804320001,53.0,15.509,,52.25,,1/1
GENZANO DI ROMA,5804310003,682.0,15.933000000000002,,44.766666666666666,,1/1
GENZANO DI ROMA,5804320003,47.0,3.665,,21.7,,1/1
GENZANO DI ROMA,5804326705,24.0,14.455999999999998,,64.8,,1/1
GENZANO DI ROMA,5804326704,54.0,18.639,,81.16666666666667,,1/1
GERANO,5804410001,936.0,72.687,,187.45,,1/1
GERANO,5804426602,21.0,72.83,,192.4,,1/1
GORGA,5804510001,459.0,21.785,,42.21666666666667,,1/1
GORGA,5804510002,102.0,14.99,,30.916666666666668,,1/1
GORGA,5804526601,12.0,20.537,,37.11666666666667,,1/1
GROTTAFERRATA,5804610002,19274.0,1.474,,21.233333333333334,,1/1
GROTTAFERRATA,5804610004,157.0,4.627,,58.516666666666666,,1/1
GROTTAFERRATA,5804620007,66.0,5.036,,50.13333333333333,,1/1
GROTTAFERRATA,5804610005,193.0,3.538,,44.916666666666664,,1/1
GROTTAFERRATA,5804610003,101.0,18.639,,80.01666666666667,,1/1
GROTTAFERRATA,5804620006,86.0,3.028,,49.300000000000004,,1/1
GROTTAFERRATA,5804626611,15.0,23.297,,63.55,,1/1
GROTTAFERRATA,5804626605,32.0,3.287,,43.516666666666666,,1/1
GROTTAFERRATA,5804626701,88.0,22.182,,60.18333333333333,,1/1
JENNE,5804810001,305.0,13.622,,34.983333333333334,,1/1
JENNE,5804826601,12.0,13.464999999999998,,37.233333333333334,,1/1
LABICO,5804910001,5017.0,17.371,,61.5,,1/1
LABICO,5804920001,1112.0,18.855,,95.53333333333333,,1/1
LANUVIO,5805010001,697.0,33.333,,94.65,,1/1
LANUVIO,5805010002,6056.0,16.03,,54.10000000000001,,1/1
LANUVIO,5805010004,1672.0,30.078,,91.68333333333332,,1/1
LANUVIO,5805020002,251.0,21.528,,105.23333333333333,,1/1
LANUVIO,5805020001,112.0,22.414000000000005,,100.83333333333333,,1/1
LANUVIO,5805010003,164.0,26.683,,84.63333333333334,,1/1
LANUVIO,5805020004,372.0,16.427,,80.25,,1/1
LANUVIO,5805020003,297.0,17.466,,94.65,,1/1
LICENZA,5805110001,36.0,31.481999999999996,,90.58333333333333,,1/1
LICENZA,5805110002,773.0,24.171000000000003,,56.83333333333334,,1/1
MAGLIANO ROMANO,5805210001,1321.0,72.847,,159.03333333333333,,1/1
MANDELA,5805310001,602.0,18.834,,49.583333333333336,,1/1
MANDELA,5805320001,237.0,17.227,,50.53333333333333,,1/1
MANZIANA,5805410001,6760.0,7.487,,30.5,,1/1
MANZIANA,5805420001,184.0,5.176,,34.85,,1/1
MANZIANA,5805420003,93.0,9.357,,56.916666666666664,,1/1
MANZIANA,5805426702,68.0,10.856,,68.43333333333334,,1/1
MARANO EQUO,5805510001,782.0,13.263,,46.483333333333334,,1/1
