Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min
SAN GIOVANNI INCARICO,6006410002,253.0,2.67,,4.516666666666667,
SAN GIOVANNI INCARICO,6006420007,66.0,2.41,,3.6666666666666665,
SAN GIOVANNI INCARICO,6006420004,50.0,0.972,,1.416666666666667,
SAN GIOVANNI INCARICO,6006426610,19.0,3.226,,4.916666666666667,
SAN GREGORIO DA SASSOLA,5809510001,1096.0,3.715,,6.9,
SAN LORENZO NUOVO,5604710001,1741.0,0.2925,0.15061374439273464,1.2166666666666668,0.8013876853447539
SAN POLO DEI CAVALIERI,5809610001,1739.0,0.188,,0.95,
SAN POLO DEI CAVALIERI,5809610002,211.0,9.031,,14.3,
SAN POLO DEI CAVALIERI,5809620002,318.0,5.243,,7.816666666666666,
SAN VITO ROMANO,5810010001,3023.0,0.8,0.4652762620207483,1.8250000000000002,0.7660323462854264
SAN VITTORE DEL LAZIO,6007010001,151.0,2.5025000000000004,0.16475588001646566,4.291666666666667,0.48318963381080765
SAN VITTORE DEL LAZIO,6007020003,59.0,2.8005,0.16475588001646532,4.583333333333334,0.4714045207910319
SAN VITTORE DEL LAZIO,6007010002,148.0,4.306500000000001,0.16475588001646532,6.091666666666666,0.48318963381080765
SAN VITTORE DEL LAZIO,6007020210,1.0,1.06,0.2489015869776647,3.208333333333333,1.001734606680942
SAN VITTORE DEL LAZIO,6007020006,32.0,3.3865,0.16475588001646566,5.225,0.48318963381080704
SAN VITTORE DEL LAZIO,6007026613,37.0,1.4020000000000001,0.2489015869776648,3.7750000000000004,1.001734606680942
SAN VITTORE DEL LAZIO,6007026611,16.0,3.4255,0.16475588001646532,5.325,0.48318963381080765
SAN VITTORE DEL LAZIO,6007026702,11.0,3.6505000000000005,0.24819448019647816,7.458333333333332,1.0017346066809418
SAN VITTORE DEL LAZIO,6007026708,3.0,6.805,0.24890158697766496,12.891666666666666,1.0017346066809418
SANT'AMBROGIO SUL GARIGLIANO,6006510001,570.0,3.834,,5.416666666666667,
SANT'AMBROGIO SUL GARIGLIANO,6006520003,42.0,3.03,,3.6666666666666665,
SANT'AMBROGIO SUL GARIGLIANO,6006520002,57.0,1.603,,2.216666666666667,
SANT'AMBROGIO SUL GARIGLIANO,6006526601,29.0,4.606,,5.633333333333334,
SANT'ANDREA DEL GARIGLIANO,6006610001,438.0,0.371,0.1711198410471445,1.4166666666666667,0.8013876853447539
SANT'ANDREA DEL GARIGLIANO,6006620007,76.0,2.377,0.22485995641732218,4.683333333333334,0.3535533905932738
SANT'ANDREA DEL GARIGLIANO,6006620010,56.0,1.298,0.22485995641732215,2.2833333333333337,0.3535533905932738
SANT'ANDREA DEL GARIGLIANO,6006620017,61.0,4.103,0.22485995641732184,6.316666666666666,0.3535533905932738
SANT'ANDREA DEL GARIGLIANO,6006626613,31.0,2.2249999999999996,0.22485995641732218,4.166666666666667,0.35355339059327406
SANT'ANDREA DEL GARIGLIANO,6006626611,16.0,1.7469999999999999,0.22485995641732198,2.5833333333333335,0.3535533905932738
SANT'ANDREA DEL GARIGLIANO,6006620016,129.0,3.2154999999999996,0.2255670631985086,4.85,0.3535533905932738
SANT'ANDREA DEL GARIGLIANO,6006626606,15.0,2.757,0.22485995641732218,4.183333333333334,0.35355339059327406
SANT'ANDREA DEL GARIGLIANO,6006626715,5.0,4.713500000000001,0.2255670631985086,7.083333333333333,0.3535533905932738
SANT'ANGELO ROMANO,5809810001,353.0,6.45,,7.266666666666667,
SANT'ANGELO ROMANO,5809810002,1985.0,6.035,,8.8,
