Comune,Nucleo_ID,Popolazione,mean_km,St.Dv_km,mean_min,St.Dv_min,match_ratio
BRACCIANO,5801320006,762.0,4.6513333333333335,0.8813423474072565,9.261111111111111,1.8440846369264479,3/3
BRACCIANO,5801320003,52.0,4.075,0.6920339587043397,8.533333333333333,3.289756829919196,3/3
BRACCIANO,5801326704,41.0,10.772333333333334,0.6240459384799589,12.172222222222222,1.2738102655390224,3/3
CAMERATA NUOVA,5801410001,382.0,0.158,,0.6333333333333333,,1/1
CAMERATA NUOVA,5801426602,15.0,1.282,,2.716666666666667,,1/1
CAMPAGNANO DI ROMA,5801510001,7052.0,1.3406666666666667,0.24490270176813767,2.961111111111111,0.6638133383325076,3/3
CAMPAGNANO DI ROMA,5801520001,253.0,4.015333333333333,0.10636885509082684,6.027777777777778,0.7169250180329054,3/3
CAMPAGNANO DI ROMA,5801520002,1186.0,4.146333333333334,0.3996114779799668,7.333333333333333,1.39234015639538,3/3
CAMPAGNANO DI ROMA,5801520003,132.0,5.134666666666666,0.33567444545769864,8.327777777777778,1.052290271177499,3/3
CANALE MONTERANO,5801610001,2123.0,1.717,2.285369116794922,2.9833333333333334,3.8890872965260113,2/2
CANALE MONTERANO,5801610002,918.0,1.717,2.2599132726722058,3.0500000000000003,3.6533850361304956,2/2
CANALE MONTERANO,5801620005,47.0,1.9715,0.8251936136447011,4.341666666666667,1.355287997274216,2/2
CANALE MONTERANO,5801620004,46.0,1.717,0.8329717882377531,3.0083333333333333,0.8838834764831844,2/2
CANTERANO,5801710001,317.0,1.579,,3.55,,1/1
CANTERANO,5801726701,12.0,2.218,,4.25,,1/1
CAPENA,5801810001,2055.0,5.188,0.24324473272817257,6.533333333333333,0.683536555146996,2/2
CAPENA,5801810002,6065.0,0.6275000000000001,0.24253762594698583,1.775,0.67175144212722,2/2
CAPENA,5801820001,888.0,4.627,0.17960512242138277,6.941666666666666,0.5067598598503591,2/2
CAPENA,5801810003,100.0,7.029,0.45961940777125615,8.625,0.43604918173170465,2/2
CAPENA,5801820005,329.0,4.0954999999999995,0.24253762594698608,5.783333333333333,0.683536555146996,2/2
CAPENA,5801820004,388.0,2.9955,0.24253762594698577,4.691666666666667,0.6717514421272203,2/2
CAPENA,5801820003,167.0,3.7085000000000004,0.24253762594698577,5.416666666666667,0.683536555146996,2/2
